senator,transaction_date,disclosure_date,ticker,asset_description,asset_type,amount,name_cleaned,first_name,last_name,full_name
James M Inhofe,06/29/2020,07/24/2020,BAM,Brookfield Asset Management Inc.,Stock,"$1,001 - $15,000",James M Inhofe,James,Inhofe,James Inhofe
Shelley M Capito,06/25/2020,07/14/2020,WFC,Wells Fargo &amp; Company,Stock,"$15,001 - $50,000",Shelley M Capito,Shelley,Capito,Shelley Capito
Daniel S Sullivan,06/16/2020,07/14/2020,RPM,RPM International Inc.,Stock,"$50,001 - $100,000",Daniel S Sullivan,Daniel,Sullivan,Daniel Sullivan
Rick Scott,07/01/2020,07/13/2020,--,"King County Washington Sewer Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 0.875%<br> <em>Matures:</em> 01/01/2042</div>",Municipal Security,"$100,001 - $250,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,07/01/2020,07/13/2020,--,"King County Washington Sewer Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 0.875%<br> <em>Matures:</em> 01/01/2042</div>",Municipal Security,"$250,001 - $500,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/18/2020,07/13/2020,--,"New York State Dorm Auth Personal Income Tax Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 03/15/2031</div>",Municipal Security,"$100,001 - $250,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/09/2020,07/13/2020,--,"Ysleta Texas Independent School District Ref Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 08/15/2031</div>",Municipal Security,"$500,001 - $1,000,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/09/2020,07/13/2020,--,"Ysleta Texas Independent School District Ref Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 08/15/2031</div>",Municipal Security,"$500,001 - $1,000,000",Rick Scott,Rick,Scott,Rick Scott
Pat Roberts,06/26/2020,07/06/2020,AMZN,"Amazon.com, Inc.",Stock,"$1,001 - $15,000",Pat Roberts,Pat,Roberts,Pat Roberts
Pat Roberts,06/04/2020,07/06/2020,AAL,American Airlines Group Inc.,Stock,"$1,001 - $15,000",Pat Roberts,Pat,Roberts,Pat Roberts
Pat Roberts,06/04/2020,07/06/2020,AAL,American Airlines Group Inc.,Stock,"$1,001 - $15,000",Pat Roberts,Pat,Roberts,Pat Roberts
Pat Roberts,06/30/2020,07/06/2020,BA,The Boeing Company,Stock,"$1,001 - $15,000",Pat Roberts,Pat,Roberts,Pat Roberts
Pat Roberts,06/30/2020,07/06/2020,AAL,American Airlines Group Inc.,Stock,"$1,001 - $15,000",Pat Roberts,Pat,Roberts,Pat Roberts
Pat Roberts,06/05/2020,07/06/2020,BA,The Boeing Company,Stock,"$1,001 - $15,000",Pat Roberts,Pat,Roberts,Pat Roberts
Ron L Wyden,06/30/2020,07/02/2020,AMZN,"Amazon.com, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/26/2020,07/02/2020,AAPL,Apple Inc.,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/26/2020,07/02/2020,AMZN,"Amazon.com, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/26/2020,07/02/2020,MSFT,Microsoft Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/26/2020,07/02/2020,NFLX,"Netflix, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/26/2020,07/02/2020,NVDA,NVIDIA Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/24/2020,07/02/2020,AAPL,Apple Inc.,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/24/2020,07/02/2020,COST,Costco Wholesale Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/24/2020,07/02/2020,COUP,Coupa Software Incorporated,Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/24/2020,07/02/2020,DIS,The Walt Disney Company,Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/24/2020,07/02/2020,FB,"Facebook, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/24/2020,07/02/2020,GOOG,Alphabet Inc.,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/24/2020,07/02/2020,IRBT,iRobot Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/24/2020,07/02/2020,MSFT,Microsoft Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/24/2020,07/02/2020,NVDA,NVIDIA Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/24/2020,07/02/2020,PYPL,"PayPal Holdings, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/23/2020,07/02/2020,AAPL,Apple Inc.,Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/23/2020,07/02/2020,AMAT,"Applied Materials, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/23/2020,07/02/2020,AVGO,Broadcom Inc.,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/23/2020,07/02/2020,COUP,Coupa Software Incorporated,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/23/2020,07/02/2020,MMM,3M Company,Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/23/2020,07/02/2020,MSFT,Microsoft Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/17/2020,07/02/2020,AMAT,"Applied Materials, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/17/2020,07/02/2020,COUP,Coupa Software Incorporated,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/17/2020,07/02/2020,INTC,Intel Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/17/2020,07/02/2020,KLAC,KLA Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/17/2020,07/02/2020,MSFT,Microsoft Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/03/2020,07/02/2020,NFLX,"Netflix, Inc.",Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/04/2020,07/02/2020,VMC,Vulcan Materials Company,Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/04/2020,07/02/2020,STZ,"Constellation Brands, Inc.",Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/04/2020,07/02/2020,RDS-B,Royal Dutch Shell plc,Stock,"$1,001 - $15,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/04/2020,07/02/2020,PYPL,"PayPal Holdings, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/04/2020,07/02/2020,MAR,"Marriott International, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/04/2020,07/02/2020,KLAC,KLA Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/04/2020,07/02/2020,FB,"Facebook, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/04/2020,07/02/2020,AVGO,Broadcom Inc.,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/05/2020,07/02/2020,VMC,Vulcan Materials Company,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/05/2020,07/02/2020,TRIP,"TripAdvisor, Inc.",Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/05/2020,07/02/2020,MAR,"Marriott International, Inc.",Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/05/2020,07/02/2020,GOOG,Alphabet Inc.,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/05/2020,07/02/2020,FB,"Facebook, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/05/2020,07/02/2020,CAT,Caterpillar Inc.,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/05/2020,07/02/2020,AMZN,"Amazon.com, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/05/2020,07/02/2020,AMAT,"Applied Materials, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/12/2020,07/02/2020,NVDA,NVIDIA Corporation,Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/12/2020,07/02/2020,DIS,The Walt Disney Company,Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/12/2020,07/02/2020,DIS,The Walt Disney Company,Stock,"$1,001 - $15,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/12/2020,07/02/2020,DIS,The Walt Disney Company,Stock,"$1,001 - $15,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/12/2020,07/02/2020,DIS,The Walt Disney Company,Stock,"$1,001 - $15,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/02/2020,07/02/2020,AMZN,"Amazon.com, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,06/02/2020,07/02/2020,BERY,"Berry Global Group, Inc.",Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Richard Blumenthal,07/01/2020,07/01/2020,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,Unknown,Richard Blumenthal,Richard,Blumenthal,Richard Blumenthal
Thomas R Carper,06/19/2020,07/01/2020,--,"BCS Contingent Autocall INTC <div class=""text-muted""><em>Rate/Coupon:</em> 10.15%<br> <em>Matures:</em> 6/22/23</div>",Corporate Bond,"$15,001 - $50,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,06/19/2020,07/01/2020,--,"BCS Contingent Autocall INTC <div class=""text-muted""><em>Rate/Coupon:</em> 10.15%<br> <em>Matures:</em> 06/22/23</div>",Corporate Bond,"$15,001 - $50,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,06/11/2020,07/01/2020,--,"MS Contingent Autocall INTC <div class=""text-muted""><em>Rate/Coupon:</em> 8.2%<br> <em>Matures:</em> 12/9/22</div>",Corporate Bond,"$15,001 - $50,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,06/11/2020,07/01/2020,--,"MS Contingent Autocall INTC <div class=""text-muted""><em>Rate/Coupon:</em> 8.2%<br> <em>Matures:</em> 12/9/22</div>",Corporate Bond,"$15,001 - $50,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Daniel S Sullivan,05/18/2020,06/15/2020,RPM,RPM International Inc.,Stock,"$50,001 - $100,000",Daniel S Sullivan,Daniel,Sullivan,Daniel Sullivan
Rick Scott,06/02/2020,06/12/2020,--,"Metropolitan Nashville Airport Auth Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2036</div>",Municipal Security,"$100,001 - $250,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/02/2020,06/12/2020,--,"City of Chicago Chicago O'Hare Intl Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 01/01/2026</div>",Municipal Security,"$100,001 - $250,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/01/2020,06/12/2020,--,"Broward County Florida Airport Sys Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2034</div>",Municipal Security,"$100,001 - $250,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/02/2020,06/12/2020,--,"City of Chicago Chicago O'Hare Intl Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 01/01/2026</div>",Municipal Security,"$500,001 - $1,000,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/02/2020,06/12/2020,--,"Greater Orlando Aviation Authority Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2038</div>",Municipal Security,"$500,001 - $1,000,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/02/2020,06/12/2020,--,"Metropolitan Nashville Airport Auth Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2036</div>",Municipal Security,"$500,001 - $1,000,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/01/2020,06/12/2020,--,"Broward County Florida Airport Sys Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2034</div>",Municipal Security,"$500,001 - $1,000,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/02/2020,06/12/2020,--,"City of Chicago Chicago O'Hare Intl Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 01/01/2026</div>",Municipal Security,"$250,001 - $500,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/02/2020,06/12/2020,--,"Greater Orlando Aviation Authority Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2038</div>",Municipal Security,"$500,001 - $1,000,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/02/2020,06/12/2020,--,"Metropolitan Nashville Airport Auth Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2036</div>",Municipal Security,"$500,001 - $1,000,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/01/2020,06/12/2020,--,"Broward County Florida Airport Sys Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2034</div>",Municipal Security,"$500,001 - $1,000,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/02/2020,06/12/2020,--,"Greater Orlando Aviation Authority Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2038</div>",Municipal Security,"$100,001 - $250,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/02/2020,06/12/2020,--,"Metropolitan Nashville Airport Auth Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2037</div>",Municipal Security,"$250,001 - $500,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,06/01/2020,06/12/2020,--,"Broward County Florida Airport Sys Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2034</div>",Municipal Security,"$250,001 - $500,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,05/13/2020,06/12/2020,--,"New York City Transitional Finance Auth Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 02/01/2041</div>",Municipal Security,"$500,001 - $1,000,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,05/13/2020,06/12/2020,--,"New York City Transitional Finance Auth Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 02/01/2041</div>",Municipal Security,"$100,001 - $250,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,05/13/2020,06/12/2020,--,"New York City Transitional Finance Auth Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 02/01/2041</div>",Municipal Security,"$500,001 - $1,000,000",Rick Scott,Rick,Scott,Rick Scott
Rick Scott,05/13/2020,06/12/2020,--,"New York City Transitional Finance Auth Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 02/01/2041</div>",Municipal Security,"$250,001 - $500,000",Rick Scott,Rick,Scott,Rick Scott
Mark R Warner,05/04/2020,06/09/2020,--,"BetterCloud <div class=""text-muted""> <em>Company:</em> BetterCloud &nbsp;(New York, NY) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Cloud Storage</div>",Other Securities,"$250,001 - $500,000",Mark R Warner,Mark,Warner,Mark Warner
Thomas R Carper,05/28/2020,06/01/2020,XCAPX,ACAP Strategic Fund,Other Securities,"$15,001 - $50,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,05/21/2020,06/01/2020,PRJAX,PGIM Jennison Global Opportunities Fund-Class A,Other Securities,"$15,001 - $50,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Ron L Wyden,05/27/2020,06/01/2020,TRIP,"TripAdvisor, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/27/2020,06/01/2020,MAR,"Marriott International, Inc.",Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/27/2020,06/01/2020,VAC,Marriott Vacations Worldwide Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/26/2020,06/01/2020,NVDA,NVIDIA Corporation,Stock,"$100,001 - $250,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/26/2020,06/01/2020,VAC,Marriott Vacations Worldwide Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/21/2020,06/01/2020,GOOG,Alphabet Inc.,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/20/2020,06/01/2020,PYPL,"PayPal Holdings, Inc.",Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/20/2020,06/01/2020,FB,"Facebook, Inc.",Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/11/2020,06/01/2020,UBER,"Uber Technologies, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/08/2020,06/01/2020,UBER,"Uber Technologies, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/01/2020,06/01/2020,AMZN,"Amazon.com, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/05/2020,06/01/2020,QSR,Restaurant Brands International Inc.,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/05/2020,06/01/2020,MCD,McDonald's Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/05/2020,06/01/2020,DPZ,"Domino's Pizza, Inc.",Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/05/2020,06/01/2020,BYND,"Beyond Meat, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/07/2020,06/01/2020,STZ,"Constellation Brands, Inc.",Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/07/2020,06/01/2020,MTCH,"Match Group, Inc.",Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/07/2020,06/01/2020,BLL,Ball Corporation,Stock,"$50,001 - $100,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/07/2020,06/01/2020,BRY,Berry Corporation,Stock,"$15,001 - $50,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Ron L Wyden,05/07/2020,06/01/2020,GE,General Electric Company,Stock,"$1,001 - $15,000",Ron L Wyden,Ron,Wyden,Ron Wyden
Tina Smith,05/01/2020,05/31/2020,--,"Surgical Information Sciences <div class=""text-muted""> <em>Company:</em> Surgical Information Sciences &nbsp;(Alpharetta, CA) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Health Management Systems</div>",Other Securities,"$15,001 - $50,000",Tina Smith,Tina,Smith,Tina Smith
Kelly Loeffler,05/20/2020,05/22/2020,ICE,"Intercontinental Exchange, Inc.",Stock,"$1,000,001 - $5,000,000",Kelly Loeffler,Kelly,Loeffler,Kelly Loeffler
Kelly Loeffler,05/20/2020,05/22/2020,ICE,"Intercontinental Exchange, Inc.",Stock,"$5,000,001 - $25,000,000",Kelly Loeffler,Kelly,Loeffler,Kelly Loeffler
Kelly Loeffler,05/20/2020,05/22/2020,ICE,"Intercontinental Exchange, Inc.",Stock,"$1,000,001 - $5,000,000",Kelly Loeffler,Kelly,Loeffler,Kelly Loeffler
Shelley M Capito,04/07/2020,05/14/2020,RTN,United Technologies Corp. (Exchanged) <br> Raytheon Company (Received),Stock,"$15,001 - $50,000",Shelley M Capito,Shelley,Capito,Shelley Capito
John Boozman,05/11/2020,05/11/2020,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,Unknown,John Boozman,John,Boozman,John Boozman
Mark R Warner,04/22/2020,05/11/2020,--,"Revival LOC, LLC <div class=""text-muted""> <em>Company:</em> Revival LOC, LLC &nbsp;(Springfield, NJ) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Line of Credit - Manufacturer</div>",Other Securities,"$250,001 - $500,000",Mark R Warner,Mark,Warner,Mark Warner
James M Inhofe,04/13/2020,05/08/2020,V,Visa Inc.,Stock,"$50,001 - $100,000",James M Inhofe,James,Inhofe,James Inhofe
James M Inhofe,04/13/2020,05/08/2020,MSFT,Microsoft Corporation,Stock,"$50,001 - $100,000",James M Inhofe,James,Inhofe,James Inhofe
"David A Perdue , Jr",04/16/2020,05/08/2020,DOW,Dow Inc.,Stock,"$1,001 - $15,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/16/2020,05/08/2020,EEM,"iShares MSCI Emerging Markets ETF <div class=""text-muted""><em>Description:</em>&nbsp;Exchange Traded Fund</div>",Other Securities,"$1,001 - $15,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/16/2020,05/08/2020,IDV,"iShares International Select Dividend ETF <div class=""text-muted""><em>Description:</em>&nbsp;Exchange Traded Fund</div>",Other Securities,"$1,001 - $15,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,DD,"DuPont de Nemours, Inc.",Stock,"$50,001 - $100,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,BRK-B,Berkshire Hathaway Inc.,Stock,"$100,001 - $250,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,BAC,Bank of America Corporation,Stock,"$50,001 - $100,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,AAPL,Apple Inc.,Stock,"$15,001 - $50,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/03/2020,05/08/2020,PFE,Pfizer Inc.,Stock,"$1,001 - $15,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/06/2020,05/08/2020,LYV,"Live Nation Entertainment, Inc.",Stock,"$1,001 - $15,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/03/2020,05/08/2020,LYV,"Live Nation Entertainment, Inc.",Stock,"$1,001 - $15,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/01/2020,05/08/2020,MU,"Micron Technology, Inc.",Stock,"$1,001 - $15,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/01/2020,05/08/2020,MU,"Micron Technology, Inc.",Stock,"$1,001 - $15,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/16/2020,05/08/2020,IWM,"iShares Russell 2000 ETF <div class=""text-muted""><em>Description:</em>&nbsp;Exchange Traded Fund</div>",Other Securities,"$50,001 - $100,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,DIS,The Walt Disney Company,Stock,"$100,001 - $250,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,MU,"Micron Technology, Inc.",Stock,"$50,001 - $100,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,MRK,"Merck &amp; Co., Inc.",Stock,"$50,001 - $100,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/06/2020,05/08/2020,MRK,"Merck &amp; Co., Inc.",Stock,"$1,001 - $15,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/03/2020,05/08/2020,MRK,"Merck &amp; Co., Inc.",Stock,"$15,001 - $50,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,LGF-B,Lions Gate Entertainment Corp.,Stock,"$50,001 - $100,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,GPK,Graphic Packaging Holding Company,Stock,"$100,001 - $250,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,FDX,FedEx Corporation,Stock,"$100,001 - $250,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,DVN,Devon Energy Corporation,Stock,"$15,001 - $50,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,DAL,"Delta Air Lines, Inc.",Stock,"$1,001 - $15,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,ALB,Albemarle Corporation,Stock,"$50,001 - $100,000","David A Perdue , Jr",David,Jr,David Jr
"David A Perdue , Jr",04/14/2020,05/08/2020,HBI,Hanesbrands Inc.,Stock,"$100,001 - $250,000","David A Perdue , Jr",David,Jr,David Jr
