title,lyrics
The Story of Us,"I used to think one day, we'd tell the story of us
How we met, and the sparks flew instantly
And people would say, they're the lucky ones
I used to know my place was a spot next to you
Now I'm searching the room for an empty seat
'Cause lately, I don't even know what page you're on

Oh, a simple complication
Miscommunications lead to fallout
So many things that I wish you knew
So many walls up, I can't break through

Now I'm standing alone in a crowded room
And we're not speaking
And I'm dying to know
Is it killing you like it's killing me?
Yeah, I don't know what to say
Since the twist of fate when it all broke down
And the story of us looks a lot like a tragedy now
Next chapter

How'd we end up this way?
See me nervously pulling at my clothes and trying to look busy
And you're doing your best to avoid me
I'm starting to think one day, I'll tell the story of us
How I was losing my mind when I saw you here
But you held your pride like you should've held me
Oh, I'm scared to see the ending
Why are we pretending this is nothing?
I'd tell you I miss you, but I don't know how
I've never heard silence quite this loud

Now I'm standing alone in a crowded room
And we're not speaking
And I'm dying to know
Is it killing you like it's killing me?
Yeah, and I don't know what to say
Since the twist of fate, when it all broke down
And the story of us looks a lot like a tragedy now

This is looking like a contest
Of who can act like they care less
But I liked it better when you were on my side
The battle's in your hands now
But I would lay my armor down
If you say you'd rather love than fight
So many things that you wish I knew
But the story of us might be ending soon

Now I'm standing alone in a crowded room
And we're not speaking
And I'm dying to know
Is it killing you like it's killing me?
Yeah, and I don't know what to say
Since the twist of fate, when it all broke down
And the story of us looks a lot like a tragedy now, now, now
And we're not speaking
And I'm dying to know
Is it killing you like it's killing me, yeah?
I don't know what to say since the twist of fate
'Cause we're going down
And the story of us looks a lot like a tragedy now
The End29EmbedShare URLCopyEmbedCopy"
Our Song,"I was ridin' shotgun with my hair undone
In the front seat of his car
He's got a one-hand feel on the steering wheel
The other on my heart
I look around, turn the radio down
He says, ""Baby, is something wrong?""
I say, ""Nothin', I was just thinkin'
How we don't have a song""
And he says

Our song is the slamming screen door
Sneakin' out late, tapping on your window
When we're on the phone and you talk real slow
'Cause it's late and your mama don't know
Our song is the way you laugh
The first date: ""Man, I didn't kiss her, and I should have""
And when I got home 'fore I said amen
Asking God if he could play it again

I was walking up the front porch steps
After everything that day
Had gone all wrong or been trampled on
And lost and thrown away
Got to the hallway, well on my way
To my lovin' bed
I almost didn't notice all the roses
And the note that said
Our song is the slamming screen door
Sneakin' out late, tapping on your window
When we're on the phone and you talk real slow
'Cause it's late and your mama don't know
Our song is the way you laugh
The first date: ""Man, I didn't kiss her, and I should have""
And when I got home 'fore I said amen
Asking God if he could play it again
Da-da-da-da

I've heard every album, listened to the radio
Waited for somethin' to come along
That was as good as our song

'Cause our song is the slamming screen door
Sneakin' out late, tappin' on his window
When we're on the phone and he talks real slow
'Cause it's late and his mama don't know
Our song is the way he laughs
The first date: ""Man, I didn't kiss him, and I should have""
And when I got home 'fore I said amen
Asking God if he could play it again
Play it again, oh, yeah
Oh, oh, yeah
I was ridin' shotgun with my hair undone
In the front seat of his car
I grabbed a pen and an old napkin
And I wrote down our song31EmbedShare URLCopyEmbedCopy"
Bye Bye Baby (Taylor’s Version) [From the Vault],"It wasn't just like a movie
The rain didn't soak through my clothes, down to my skin
I'm drivin' away and I, I guess you could say
This is the last time I'll drive this way again
Lost in the gray and I try to grab at the fray
'Cause I, I still love you but I can't

Bye bye to everything I thought was on my side
Bye bye baby
I want you back but it's come down to nothing
And all I have is your sympathy
'Cause you took me home but you just couldn't keep me
Bye bye baby
Bye bye baby

The picture frame is empty
On the dresser, vacant just like me
I see your writing on the dash
Then back to your hesitation
I was so sure of everything
Everything I thought we'd always have
Guess I never doubted it
Then the here and the now floods in
Feels like I'm becoming a part of your past
Bye bye to everything I thought was on my side
Bye bye baby
I want you back but it's come down to nothing
And all I have is your sympathy
'Cause you took me home but you just couldn't keep me
Bye bye baby

And there's so much that I can't touch
You're all I want but it's not enough this time
And all the pages are just slipping through my hands
And I'm so scared of how this ends

Bye bye to everything I thought was on my side
Bye bye baby
I want you back but it's come down to nothing
And all I have is your sympathy
'Cause you took me home but you just couldn't keep me

Bye bye to everything I thought was on my side
Bye bye baby
I want you back but it's come down to nothing
And all I have is your sympathy
'Cause you took me home but you just couldn't keep me
Oh, you took me home, I thought you were gonna keep me
Bye bye baby
Bye bye baby5EmbedShare URLCopyEmbedCopy"
Haunted,"You and I walk a fragile line
I have known it all this time
But I never thought I'd live to see it break
It's getting dark and it's all too quiet
And I can't trust anything now
And it's coming over you like it's all a big mistake

Whoa, holding my breath
Won't lose you again
Something's made your eyes go cold

Come on, come on, don't leave me like this
I thought I had you figured out
Something's gone terribly wrong
You're all I wanted
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
Can't turn back now, I'm haunted

Stood there and watched you walk away
From everything we had
But I still mean every word I said to you
He will try to take away my pain
And he just might make me smile
But the whole time, I'm wishing it was you instead
Oh, holding my breath
Won't see you again
Something keeps me holding onto nothing

Come on, come on, don't leave me like this
I thought I had you figured out
Something's gone terribly wrong
You're all I wanted
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
Can't turn back now, I'm haunted

I know
I know
I just know
You're not gone, you can't be gone, no

Come on, come on, don't leave me like this
I thought I had you figured out
Something's gone terribly wrong
Won't finish what you started
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
Can't go back, I'm haunted
(Oh, oh, oh, oh, oh, oh, oh, oh, oh)
You and I walk a fragile line
I have known it all this time
Never ever thought I'd see it break
Never thought I'd see it39EmbedShare URLCopyEmbedCopy"
Christmas Tree Farm,"My winter nights are taken up by static
Stress and holiday shopping traffic
But I close my eyes and I'm somewhere else
Just like magic

In my heart is a Christmas tree farm
Where the people would come
To dance under sparkling lights
Bundled up in their mittens and coats
And the cider would flow
And I just wanna be there tonight

Sweet dreams of holly and ribbon
Mistakes are forgiven
And everythin' is icy and blue
And you would be there too

Under the mistletoe
Watchin' the fire glow
And tellin' me, ""I love you""
Just bein' in your arms
Takes me back to that little farm
Where every wish comes true
In my heart is a Christmas tree farm
There's a light in the barn
We run inside out from the cold
In the town, kids are dreamin' of sleighs
And they're warm and they're safe
They wake to see a blanket of snow

Sweet dreams of holly and ribbon
Mistakes are forgiven
And everythin' is icy and blue
And you would be there too

Under the mistletoe
Watchin' the fire glow
And tellin' me, ""I love you""
Just bein' in your arms
Takes me back to that little farm
Where every wish comes true
Baby, yeah

And when I'm feelin' alone
You remind me of home
Oh, baby, baby, Merry Christmas
And when the world isn't fair
I pretend that we're there
Baby, baby, Merry Christmas (To you)
Under the mistletoe (To you)
Watching the fire glow
And tellin' me, ""I love you""

Oh, baby, baby, Merry Christmas
Oh, baby, baby, Merry Christmas (Darling)
Oh, baby, baby, Merry Christmas
I love you
Oh, baby, baby, Merry Christmas
Oh, baby, baby, Merry Christmas (I just want you to know)
Oh, baby, baby, Merry Christmas
Where every wish comes true
I love you11EmbedShare URLCopyEmbedCopy"
Forever & Always,"Once upon a time
I believe it was a Tuesday when I caught your eye
And we caught onto something
I hold onto the night
You looked me in the eye and told me you loved me
Were you just kidding?
'Cause it seems to me
This thing is breaking down, we almost never speak
I don't feel welcome anymore
Baby, what happened? Please tell me
'Cause one second it was perfect
Now you're halfway out the door

And I stare at the phone, he still hasn't called
And then you feel so low you can't feel nothing at all
And you flashback to when he said forever and always
Oh, and it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said forever and always

Was I out of line?
Did I say something way too honest, made you run and hide
Like a scared little boy?
I looked into your eyes
Thought I knew you for a minute, now I'm not so sure
So here's to everything coming down to nothing
Here's to silence that cuts me to the core
Where is this going?
Thought I knew for a minute, but I don't anymore
And I stare at the phone, he still hasn't called
And then you feel so low you can't feel nothing at all
And you flashback to when he said forever and always
Oh, and it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said forever and always
You didn't mean it baby, I don't think so

Oh, back up, baby, back up
Did you forget everything?
Back up, baby, back up
Did you forget everything?

'Cause it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said forever and always
Oh, I stare at the phone, he still hasn't called
And then you feel so low you can't feel nothing at all
And you flashback to when we said forever and always
And it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said forever and always
You didn't mean it baby
You said forever and always, yeah14EmbedShare URLCopyEmbedCopy"
Starlight,"I said, ""Oh, my, what a marvelous tune""
It was the best night, never would forget how we moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight
Like we're made of starlight

I met Bobby on the boardwalk, summer of '45
Picked me up, late one night at the window
We were 17 and crazy, running wild, wild
Can't remember what song it was playing when we walked in
The night we snuck into a yacht club party
Pretending to be a duchess and a prince

And I said, ""Oh, my, what a marvelous tune""
It was the best night, never would forget how we moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight

He said, ""Look at you
Worrying so much about things you can't change
You'll spend your whole life singing the blues
If you keep thinking that way""
He was trying to skip rocks on the ocean, saying to me
""Don't you see the starlight, starlight?
Don't you dream impossible things?""
Like, ""Oh, my, what a marvelous tune""
It was the best night, never would forget how we moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight

Ooh, ooh, he's talking crazy
Ooh, ooh, dancing with me
Ooh, ooh, we could get married
Have ten kids and teach 'em how to dream


Oh, my, what a marvelous tune
It was the best night, never would forget how we moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight

Like we're made of starlight, starlight
Like we dream impossible dreams
Like starlight, starlight
Like we dream impossible dreams
Don't you see the starlight, starlight?
Don't you dream impossible things?19EmbedShare URLCopyEmbedCopy"
Come Back... Be Here,"You said it in a simple way
4 AM, the second day
How strange that I don't know you at all
Stumbled through the long goodbye
One last kiss, then catch your flight
Right when I was just about to fall

I told myself, don't get attached
But in my mind, I play it back
Spinning faster than the plane that took you

And this is when the feeling sinks in
I don't wanna miss you like this
Come back, be here, come back, be here
I guess you're in New York today
I don't wanna need you this way
Come back, be here, come back, be here

The delicate beginning rush
The feeling you can know so much
Without knowing anything at all
And now that I can put this down
If I had known what I know now
I never would've played so nonchalant
Taxi cabs and busy streets
That never bring you back to me
I can't help but wish you took me with you

And this is when the feeling sinks in
I don't wanna miss you like this
Come back, be here, come back, be here
I guess you're in London today
And I don't wanna need you this way
Come back, be here, come back, be here

This is falling in love in the cruelest way
This is falling for you when you are worlds away
In New York, be here
But you're in London, and I break down
'Cause it's not fair that you're not around

This is when the feeling sinks in
I don't wanna miss you like this
Come back, be here, come back, be here
I guess you're in New York today
And I don't wanna need you this way
Come back, be here, come back, be here
Oh-oh, oh-oh
I don't wanna miss you like this
Oh-oh, oh-oh
Come back, be here
Come back, be here19EmbedShare URLCopyEmbedCopy"
Breathe,"I see your face in my mind as I drive away
'Cause none of us thought it was gonna end that way
People are people and sometimes we change our minds
But it's killing me to see you go after all this time

Music starts playing like the end of a sad movie
It's the kind of ending you don't really wanna see
'Cause it's tragedy and it'll only bring you down
Now I don't know what to be without you around

And we know it's never simple, never easy
Never a clean break, no one here to save me
You're the only thing I know like the back of my hand

And I can't breathe without you, but I have to
Breathe without you, but I have to

Never wanted this, never wanna see you hurt
Every little bump in the road, I tried to swerve
But people are people and sometimes it doesn't work out
Nothing we say is gonna save us from the fall out
And we know it's never simple, never easy
Never a clean break, no one here to save me
You're the only thing I know like the back of my hand

And I can't breathe without you, but I have to
Breathe without you but I have to

It's 2 A.M, feeling like I just lost a friend
Hope you know it's not easy, easy for me
It's 2 A.M, feeling like I just lost a friend
Hope you know this ain't easy, easy for me

And we know it's never simple, never easy
Never a clean break, no one here to save me, oh-oh

I can't breathe without you, but I have to
Breathe without you, but I have to
Breathe without you, but I have to

I'm sorry, I'm sorry (Mmm)
I'm sorry, (Yeah, yeah) I'm sorry
I'm sorry, I'm sorry
I'm sorry18EmbedShare URLCopyEmbedCopy"
Tim McGraw,"He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said, ""That's a lie""
Just a boy in a Chevy truck
That had a tendency of gettin' stuck
On backroads at night
And I was right there beside him all summer long
And then the time we woke up to find that summer gone

But when you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me

September saw a month of tears
And thankin' God that you weren't here
To see me like that
But in a box beneath my bed
Is a letter that you never read
From three summers back
It's hard not to find it all a little bittersweet
And lookin' back on all of that, it's nice to believe
When you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me

And I'm back for the first time since then
I'm standin' on your street
And there's a letter left on your doorstep
And the first thing that you'll read is:
""When you think Tim McGraw
I hope you think my favorite song
Someday you'll turn your radio on
I hope it takes you back to that place""

When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me
Oh, think of me
Mmmm
He said the way my blue eyes shine
Put those Georgia stars to shame that night
I said, ""That's a lie""22EmbedShare URLCopyEmbedCopy"
Stay Stay Stay,"I'm pretty sure we almost broke up last night
I threw my phone across the room, at you
I was expecting some dramatic turn away
But you stayed
This morning, I said we should talk about it
'Cause I read you should never leave a fight unresolved
That's when you came in wearing a football helmet
And said, ""Okay, let's talk""
And I said

Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay

Before you, I'd only dated self-indulgent takers
Who took all of their problems out on me
But you carry my groceries and now I'm always laughing
And I love you because you have given me
No choice but to

Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay, stay, stay, stay
You took the time to memorize me
My fears, my hopes, and dreams
I just like hanging out with you, all the time
All those times that you didn't leave, it's been occurring to me
I'd like to hang out with you, for my whole life

Stay, and I'll be loving you for quite some time
No one else is gonna love me when I get mad, mad, mad
So I think that it's best if we both stay, stay
Stay, stay, stay, stay!

Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay, stay
Stay, stay, stay, stay!

Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay
(Ha-ha-ha, it's so fun)13EmbedShare URLCopyEmbedCopy"
Ours,"Elevator buttons and morning air
Strangers' silence makes me want to take the stairs
If you were here, we'd laugh about their vacant stares
But right now, my time is theirs
Seems like there's always someone who disapproves
They'll judge it like they know about me and you
And the verdict comes from those with nothing else to do
The jury's out, but my choice is you

So don't you worry your pretty little mind
People throw rocks at things that shine
And life makes love look hard
The stakes are high, the water's rough
But this love is ours

You never know what people have up their sleeves
Ghosts from your past gonna jump out at me
Lurking in the shadows with their lip gloss smiles
But I don't care, 'cause right now, you're mine

And you'll say
Don't you worry your pretty little mind
People throw rocks at things that shine
And life makes love look hard
The stakes are high, the water's rough
But this love is ours
And it's not theirs to speculate if it's wrong
And your hands are tough, but they are where mine belong
And I'll fight their doubt and give you faith
With this song for you

'Cause I love the gap between your teeth
And I love the riddles that you speak
And any snide remarks from my father about your tattoos
Will be ignored
'Cause my heart is yours

So don't you worry your pretty little mind
People throw rocks at things that shine
And life makes love look hard
Don't you worry your pretty little mind
People throw rocks at things that shine
But they can't take what's ours
They can't take what's ours

The stakes are high, the water's rough
But this love is ours16EmbedShare URLCopyEmbedCopy"
Speak Now,"I am not the kind of girl
Who should be rudely barging in
On a white veil occasion
But you are not the kind of boy
Who should be marrying the wrong girl

I sneak in and see your friends
And her snotty little family
All dressed in pastel
And she is yelling at a bridesmaid
Somewhere back inside a room
Wearing a gown shaped like a pastry

This is surely not
What you thought it would be
I lose myself in a daydream
Where I stand and say

Don't say yes, run away now
I'll meet you when you're out
Of the church at the back door
Don't wait or say a single vow
You need to hear me out
And they said, ""speak now""
Fond gestures are exchanged
And the organ starts to play
A song that sounds like a death march
And I am hiding in the curtains
It seems that I was uninvited
By your lovely bride-to-be

She floats down the aisle
Like a pageant queen
But I know you wish it was me
You wish it was me (Don't you)

Don't say yes, run away now
I'll meet you when you're out
Of the church at the back door
Don't wait or say a single vow
You need to hear me out
And they said, ""speak now""
Don't say yes, run away now
I'll meet you when you're out
Of the church at the back door
Don't wait or say a single vow
Your time is running out
And they said, ""speak now""
Ooh, la-da-da-da, oh
Ooh, ooh
(Say a single vow)

I hear the preacher say
""Speak now or forever hold your peace""
There's the silence, there's my last chance
I stand up with shaking hands, all eyes on me
Horrified looks from everyone in the room
But I'm only looking at you

I am not the kind of girl
Who should be rudely barging in
On a white veil occasion
But you are not the kind of boy
Who should be marrying the wrong girl
(Hehe!)

So don't say yes, run away now
I'll meet you when you're out
Of the church at the back door
Don't wait or say a single vow
You need to hear me out
And they said, ""speak now""
And you say
""Let's run away now
I'll meet you when
I'm out of my tux at the back door
Baby, I didn't say my vows
So glad you were around when they said
'Speak now'""30EmbedShare URLCopyEmbedCopy"
Never Grow Up,"Your little hand's wrapped around my finger
And it's so quiet in the world tonight
Your little eyelids flutter cause you're dreaming
So I tuck you in, turn on your favorite night light
To you everything's funny, you got nothing to regret
I'd give all I have, honey
If you could stay like that

Oh darling, don't you ever grow up
Don't you ever grow up, just stay this little
Oh darling, don't you ever grow up
Don't you ever grow up, it could stay this simple
I won't let nobody hurt you, won't let no one break your heart
And no one will desert you
Just try to never grow up, never grow up

You're in the car on the way to the movies
And you're mortified your mom's dropping you off
At fourteen, there's just so much you can't do
And you can't wait to move out someday and call your own shots
But don't make her drop you off around the block
Remember that she's getting older too
And don't lose the way that you dance around in your pj's getting ready for school
Oh darling, don't you ever grow up
Don't you ever grow up, just stay this little
Oh darling, don't you ever grow up
Don't you ever grow up, it could stay this simple
No one's ever burned you, nothing's ever left you scarred
And even though you want to, just try to never grow up

Take pictures in your mind of your childhood room
Memorize what it sounded like when your dad gets home
Remember the footsteps, remember the words said
And all your little brother's favorite songs
I just realized everything I have is someday gonna be gone
So here I am in my new apartment
In a big city, they just dropped me off
It's so much colder than I thought it would be
So I tuck myself in and turn my night light on
Wish I'd never grown up
I wish I'd never grown up

Oh, I don't wanna grow up, wish I'd never grown up
I could still be little
Oh, I don't wanna grow up, wish I'd never grown up
It could still be simple
Oh darling, don't you ever grow up
Don't you ever grow up, just stay this little
Oh darling, don't you ever grow up
Don't you ever grow up, it could stay this simple
Won't let nobody hurt you
Won't let no one break your heart
And even though you want to, please try to never grow up
Oh, don't you ever grow up
Oh, never grow up, just never grow up19EmbedShare URLCopyEmbedCopy"
Hey Stephen,"Mmm-mm, mm-mm
Mmm-mm, mm-mm
Mmm-mm, mm-mm, yeah

Hey Stephen, I know looks can be deceiving
But I know I saw a light in you
And as we walked we were talking
I didn't say half the things I wanted to
Of all the girls tossing rocks at your window
I'll be the one waiting there even when it's cold
Hey Stephen, boy, you might have me believing
I don't always have to be alone

'Cause I can't help it if you look like an angel
Can't help it if I wanna kiss you in the rain so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm, I can't help myself

Hey Stephen, I've been holding back this feeling
So I got some things to say to you
I've seen it all, so I thought
But I never seen nobody shine the way you do
The way you walk, way you talk, way you say my name
It's beautiful, wonderful, don't you ever change
Hey Stephen, why are people always leaving?
I think you and I should stay the same
'Cause I can't help it if you look like an angel
Can't help it if I wanna kiss you in the rain so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm, I can't help myself

They're dimming the street lights, you're perfect for me
Why aren't you here tonight?
I'm waiting alone now, so come on and come out
And pull me near and shine, shine, shine

Hey Stephen, I could give you fifty reasons
Why I should be the one you choose
All those other girls, well, they're beautiful
But would they write a song for you? (Ha-ha)

I can't help it if you look like an angel
Can't help it if I wanna kiss you in the rain so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm, I can't help myself
If you look like an angel
Can't help it if I wanna kiss you in the rain so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm, I can't help myself
Myself
Can't help myself
I can't help myself37EmbedShare URLCopyEmbedCopy"
I Knew You Were Trouble (Intro),"I think... I think when it's all over it just comes back in flashes, you know? It's like a kaleidoscope of memories, it just all comes back. But he never does. I think part of me knew the second I saw him that this would happen. It's not really anything he said or anything he did, it was the feeling that came along with it. And the crazy thing is I don't know if I'm ever gonna feel that way again, but I don't know if I should. I knew his world moved too fast and burned too bright, but I just thought, how can the devil be pulling you toward someone who looks so much like an angel when he smiles at you? Maybe he knew that when he saw me. I guess I just lost my balance. I think that the worst part of it all wasn't losing him, it was losing me.1EmbedShare URLCopyEmbedCopy"
The Best Day,"I'm five years old, it's getting cold, I've got my big coat on
I hear your laugh and look up smiling at you, I run and run
Past the pumpkin patch and the tractor rides
Look now, the sky is gold
I hug your legs and fall asleep on the way home

I don't know why all the trees change in the fall
But I know you're not scared of anything at all
Don't know if Snow White's house is near or far away
But I know I had the best day with you today

I'm thirteen now
And don't know how my friends could be so mean
I come home crying and you hold me tight and grab the keys
And we drive and drive until we found a town far enough away
And we talk and window shop 'til I've forgotten all their names

I don't know who I'm going to talk to now at school
But I know I'm laughing on the car ride home with you
Don't know how long it's going to take to feel okay
But I know I had the best day with you today
I have an excellent father, his strength is making me stronger
God smiles on my little brother, inside and out
He's better than I am
I grew up in a pretty house and I had space to run
And I had the best days with you

There is a video I found from back when I was three
You set up a paint set in the kitchen and you're talking to me
It's the age of princesses and pirate ships and the seven dwarfs
And Daddy's smart
And you're the prettiest lady in the whole wide world

And now I know why all the trees change in the fall
I know you were on my side even when I was wrong
And I love you for giving me your eyes
For staying back and watching me shine
And I didn't know if you knew, so I'm taking this chance to say
That I had the best day with you today17EmbedShare URLCopyEmbedCopy"
Should’ve Said No,"It's strange to think the songs we used to sing
The smiles, the flowers, everything is gone
Yesterday I found out about you
Even now just looking at you: feels wrong

You say that you'd take it all back, given one chance
It was a moment of weakness and you said, ""Yes""

You should've said, ""No""
You should've gone home
You should've thought twice 'fore you let it all go
You should've known that word, 'bout what you did with her’d
Get back to me (Get back to me)
And I should've been there, in the back of your mind
I shouldn't be asking myself, ""Why?""
You shouldn't be begging for forgiveness at my feet
You should've said no, baby, and you might still have me

You can see that I've been crying
Baby, you know all the right things to say
But do you honestly expect me to believe
We could ever be the same?
You say that the past is the past, you need one chance
It was a moment of weakness and you said, ""Yes""

You should've said, ""No""
You should've gone home
You should've thought twice 'fore you let it all go
You should've known that word, 'bout what you did with her’d
Get back to me (Get back to me)
And I should've been there, in the back of your mind
I shouldn't be asking myself, ""Why?""
You shouldn't be begging for forgiveness at my feet
You should've said no, baby, and you might still have me

I can't resist
Before you go tell me this
Was it worth it?
Was she worth this?
No no, no, no, no, no

You should've said, ""No""
You should've gone home
You should've thought twice 'fore you let it all go
You should've known that word, 'bout what you did with her’d
Get back to me (Get back to me)
And I should've been there, in the back of your mind
I shouldn't be asking myself, ""Why?""
You shouldn't be begging for forgiveness at my feet
You should've said no, baby, and you might still have me18EmbedShare URLCopyEmbedCopy"
Untouchable,"Untouchable like a distant diamond sky
I'm reaching out and I just can't tell you why
I'm caught up in you, I'm caught up in you

Untouchable, burning brighter than the sun
And when you're close, I feel like coming undone

In the middle of the night when I'm in this dream
It's like a million little stars spelling out your name
You got to come on, come on, say that we'll be together
Come on, come on, little taste of heaven

It's half full and I won't wait here all day
I know you're saying that you'd be here anyway

But you're untouchable, burning brighter than the sun
Now that you're close, I feel like coming undone

In the middle of the night when I'm in this dream
It's like a million little stars spelling out your name
You got to come on, come on, say that we'll be together
Come on, come on, oh
In the middle of the night waking from this dream
I want to feel you by my side, standing next to me
You got to come on, come on, say that we'll be together
Come on, come on, little taste of heaven
I'm caught up in you
Oh-oh, oh, oh-oh
But you're untouchable, burning brighter than the sun
Now that you're close, I feel like coming undone

In the middle of the night when I'm in this dream
It's like a million little stars spelling out your name
You got to come on, come on, say that we'll be together
Come on, come on, oh
In the middle of the night when I'm in this dream
It's like a million little stars spelling out your name
You got to come on, come on, say that we'll be together
Come on, come on, come on
In the middle of the night waking from this dream
I want to feel you by my side, standing next to me
You got to come on, come on, say that we'll be together
Come on, come on, little taste of heaven
And in the middle of the night when I'm in this dream
It's like a million little stars spelling out your name
You got to come on, come on, come on, come on
Come on, come on, oh, oh, oh

Like a million little stars spelling out your name
They're spelling out your name, oh21EmbedShare URLCopyEmbedCopy"
You’re Not Sorry,"All this time I was wasting hoping you would come around
I've been giving out chances every time and all you do is let me down
And it's taken me this long, baby, but I've figured you out
And you're thinking we'll be fine again, but not this time around

You don't have to call anymore
I won't pick up the phone
This is the last straw
Don't wanna hurt anymore
And you can tell me that you're sorry
But I don't believe you, baby, like I did before
You're not sorry (No no no no)

You're looking so innocent, I might believe you if I didn't know
Could've loved you all my life if you hadn't left me waiting in the cold
And you've got your share of secrets
And I'm tired of being last to know, oh
And now you're asking me to listen 'cause it's worked each time before

But you don't have to call anymore
I won't pick up the phone
This is the last straw
Don't wanna hurt anymore
And you can tell me that you're sorry
But I don't believe you, baby, like I did before
You're not sorry (No no no no)
You're not sorry (No no no no)
You had me crawling for you, honey, and it never would've gone away, no
You used to shine so bright, but I watched all of it fade

So you don't have to call anymore
I won't pick up the phone
This is the last straw
There's nothing left to beg for
And you can tell me that you're sorry
But I don't believe you, baby, like I did before
You're not sorry (No no no no)
You're not sorry (No no no no)
(No, no, no, no, no, no, no, no, no, no, no, no)
Woah, oh, oh oh, oh oh oh
(Oh, oh, oh, no, no, no, no, no, no)20EmbedShare URLCopyEmbedCopy"
If This Was a Movie,"Last night, I heard my own heart beating
Sounded like footsteps on my stairs
Six months gone and I'm still reaching
Even though I know you're not there
I was playing back a thousand memories, baby
Thinkin' 'bout everything we've been through
Maybe I've been going back too much lately
When time stood still and I had you

Come back, come back, come back to me like
You would, you would if this was a movie
Stand in the rain outside till I came out
Come back, come back, come back to me like
You could, you could if you just said you're sorry
I know that we could work it out somehow
But if this was a movie you'd be here by now

I know people change and these things happen
But I remember how it was back then
Wrapped up in your arms and our friends were laughing
'Cause nothing like this ever happened to them
Now I'm pacing down the hall, chasing down your street
Flashback to the night when you said to me
""Nothing's gonna change, not for me and you""
Not before I knew how much I had to lose
Come back, come back, come back to me like
You would, you would if this was a movie
Stand in the rain outside till I came out
Come back, come back, come back to me like
You could, you could if you just said you're sorry
I know that we could work it out somehow
But if this was a movie you'd be here by now

If you're out there, if you're somewhere, if you're moving on
I've been waiting for you every day since you've been gone
I just want it back the way it was before
And I just want to see you back at my front door

And I say, ""Come back, come back, come back to me like
You would before you said it's not that easy
Before the fight, before I locked you out""
But I take it all back now

Come back, come back, come back to me like
You would, you would if this was a movie
Stand in the rain outside till I came out
Come back, come back, come back to me like
You could, you could if you just said you're sorry
I know that we could work it out somehow
But if this was a movie you'd be here by now
You'd be here by now
It's not the kind of ending you want to see now
Baby, what about the ending?
Oh, I thought you'd be here by now
Thought you'd be here by now11EmbedShare URLCopyEmbedCopy"
