title,lyrics
Shenandoah,"Oh, Shenandoah, I long to hear you
Look away, you rolling river
Oh, Shenandoah, I long to hear you
Look away. We're bound away
Across the wide Missouri

Now the Missouri is a mighty river
Look away, you rolling river
Indians camp along her border
Look away. We're bound away
Across the wide Missouri

Well a white man loved an Indian maiden
Look away, you rolling river
With notions his canoe was laden
Look away, we're bound away
Across the wide Missouri

Oh Shenandoah, I love your daughter
Look away, you rolling river
It was for her I'd cross the water
Look away, we're bound away
Across the wide Missouri
For seven long years I courted Sally
Look away, you rolling river
Seven more years I longed to have her
Look away, we're bound away
Across the wide Missouri

Well, it's fare-thee-well, my dear
I'm bound to leave you
Look away you rolling river
Shenandoah, I will not deceive you
Look away, we're bound away
Across the wide MissouriEmbedShare URLCopyEmbedCopy"
Tweedle Dee & Tweedle Dum,"Tweedle-dee Dum and Tweedle-dee Dee
They’re throwing knives into the tree
Two big bags of dead man’s bones
Got their noses to the grindstones

Living in the Land of Nod
Trustin’ their fate to the Hands of God
They pass by so silently
Tweedle-dee Dum and Tweedle-dee Dee

Well, they’re going to the country, they’re gonna retire
They’re taking a street car named Desire
Looking in the window at the pecan pie
Lot of things they’d like they would never buy

Neither one gonna turn and run
They’re making a voyage to the sun
“His Master’s voice is calling me”
Says Tweedle-dee Dum to Tweedle-dee Dee

Tweedle-dee Dee and Tweedle-dee Dum
All that and more and then some
They walk among the stately trees
They know the secrets of the breeze
Tweedle-dee Dum said to Tweedle-dee Dee
“Your presence is obnoxious to me”
They’re like babies sittin’ on a woman’s knee
Tweedle-dee Dum and Tweedle-dee Dee

Well, the rain beating down on my window pane
I got love for you and it’s all in vain
Brains in the pot, they’re beginning to boil
They’re dripping with garlic and olive oil

Tweedle-dee Dee—he’s on his hands and his knees
Saying, “Throw me somethin’, Mister, please”
“What’s good for you is good for me”
Says Tweedle-dee Dum to Tweedle-dee Dee

Well, they’re living in a happy harmony
Tweedle-dee Dum and Tweedle-dee Dee
They’re one day older and a dollar short
They’ve got a parade permit and a police escort

They’re lying low and they’re makin’ hay
They seem determined to go all the way
They run a brick-and-tile company
Tweedle-dee Dum and Tweedle-dee Dee
Well a childish dream is a deathless need
And a noble truth is a sacred dream
My pretty baby, she’s lookin’ around
She’s wearin’ a multi-thousand dollar gown

Tweedle-dee Dee is a lowdown, sorry old man
Tweedle-dee Dum, he’ll stab you where you stand
“I’ve had too much of your company,”
Says Tweedle-dee Dum to Tweedle-dee Dee1EmbedShare URLCopyEmbedCopy"
Blue Moon,"Blue moon, you saw me standing alone
Without a dream in my heart, without a love of my own

Blue moon, you knew just what I was there for
You heard me saying a prayer for someone I really could care for

And suddenly there appeared before me the only one my arms could ever hold
I heard someone whisper, ""Please, adore me""
And when I looked my moon had turned to gold

Blue moon, now I'm no longer alone
Without a dream in my heart, without a love of my own
Without a love of my ownEmbedShare URLCopyEmbedCopy"
I Believe in You,"They ask me how I feel
And if my love is real
And how I know I'll make it through
And they, they look at me and frown
They'd like to drive me from this town
They don't want me around
Because I believe in you

They, they show me to the door
They say, ""Don't come back no more""
'Cause I don't be like they'd like me to
And I, I walk out on my own
A thousand miles from home
But I don't feel alone
Because I believe in you

I believe in you even through the tears and the laughter
L believe in you even though we be apart
I believe in you even on the morning after
Oh, when the dawn is nearing
Oh, when the night is disappearing
Oh, this feeling is still here in my heart
Don't let me drift too far
Keep me where you are
Where I will always be renewed
And that which you've given me today
Is worth more than I could pay
And no matter what they say
I believe in you

L believe in you when winter turns to summer
I believe in you when white turn to black
I believe in you even though I be outnumbered
Oh, though the earth may shake me
Oh, though my friends forsake me
Oh, even that couldn't make me go back

Don't let me change my heart
Keep me set apart
From all the plans they do pursue
And I, I don't mind the pain
Don't mind the driving rain
I know I will sustain
Because I believe in youEmbedShare URLCopyEmbedCopy"
Summer Days,"Summer days, summer nights are gone
Summer days and the summer nights are gone
I know a place where there’s still something going on
I got a house on a hill, I got hogs out in the mud
I got a house on a hill, I got hogs all out in the mud
I got a long-haired woman, she got royal Indian blood
Everybody get ready to lift up your glasses and sing
Everybody get ready to lift up your glasses and sing
Well, I’m standing on the table, I’m proposing a toast to the king
Well I’m driving in the flats in a Cadillac car
The girls all say, “You’re a worn-out star”
My pockets are loaded and I’m spending every dime
How can you say you love someone else when you know it’s me all the time?

Well, the fog’s so thick you can’t spy the land
The fog is so thick that you can’t even spy the land
What good are you anyway, if you can’t stand up to some old businessman?
Wedding bells are ringing, the choir is beginning to sing
Yes, the wedding bells are ringing and the choir's beginning to sing
What looked good in the day, at night is another thing
She’s looking into my eyes, she’s-a holding my hand
She looking into my eyes, she’s holding my hand
She said, “You can’t repeat the past,” I said, “You can’t? What do you mean
You can’t? Of course you can.”
Where do you come from? Where do you go?
Sorry that’s nothing you would need to know
Well, my back has been to the wall for so long, it seems like it’s stuck
Why don’t you break my heart one more time just for good luck?
I got eight carburetors, boys I’m using ’em all
Well, I got eight carburetors and boys, I’m using ’em all
I’m short on gas, my motor’s starting to stall
My dogs are barking, there must be someone around
My dogs are barking, there's must be someone around
I got my hammer ringing, pretty baby, but the nails ain’t going down
You got something to say, speak or hold your peace
Well, you got something to say, speak now or hold your peace
If it’s information you want you can get it from the police
Politician's got on his jogging shoes
He must be running for office, got no time to lose
He's sucking the blood out of the genius of generosity
You been rolling your eyes—you been teasing me

Standing by God’s river, my soul is beginning to shake
Standing by God’s river, my soul is beginning to shake
I’m counting on you, love, to give me a break
Well, I’m leaving in the morning as soon as the dark clouds lift
Yes, I’m leaving in the morning just as soon as the dark clouds lift
Gon' break the roof in, set fire to the place as a parting gift
Summer days, summer nights are gone
Summer days, summer nights are gone
I know a place where there’s still something going onEmbedShare URLCopyEmbedCopy"
Day of the Locusts,"Oh, the benches were stained with tears and perspiration
The birdies were flying from tree to tree
There was little to say, there was no conversation
As I stepped to the stage to pick up my degree
And the locusts sang off in the distance
Yeah, the locusts sang such a sweet melody
Oh, the locusts sang off in the distance
Yeah, the locusts sang and they were singing for me

I glanced into the chamber where the judges were talking
Darkness was everywhere, it smelled like a tomb
I was ready to leave, I was already walking
But the next time I looked there was light in the room
And the locusts sang, yeah, it give me a chill
Oh, the locusts sang such a sweet melody
Oh, the locusts sang their high whining trill
Yeah, the locusts sang and they were singing for me

Outside of the gates the trucks were unloading
The weather was hot, a-nearly 90 degrees
The man standing next to me, his head was exploding
Well, I was praying the pieces wouldn’t fall on me
Yeah, the locusts sang off in the distance
Yeah, the locusts sang such a sweet melody
Oh, the locusts sang off in the distance
And the locusts sang and they were singing for me
I put down my robe, picked up my diploma
Took hold of my sweetheart and away we did drive
Straight for the hills, the black hills of Dakota
Sure was glad to get out of there alive
And the locusts sang, well, it give me a chill
Yeah, the locusts sang such a sweet melody
And the locusts sang with a high whining trill
Yeah, the locusts sang and they was singing for me
Singing for me, well, singing for meEmbedShare URLCopyEmbedCopy"
Untitled 2 (For Françoise Hardy),"for françoise hardy
at the seine’s edge
a giant shadow
of notre dame
seeks t grab my foot
sorbonne students
whirl by on thin bicycles
swirlin’ lifelike colors of leather spin
the breese yawns food
far from the bellies
or erhard meetin johnson
piles of lovers
fishing
kissing
lay themselves on their books, boats.
old men
clothed in curly mustaches
float on the benches
blankets of tourist
in bright nylon shirts
with straw hats of ambassadors
(cannot hear nixon’s
dawg bark now)
will sail away
as the sun goes down
the doors of the river are open
i must remember that
i too play the guitar
it’s easy t stand here
more lovers pass
on motorcycles
roped together
from the walls of the water then
i look across t what they call
the right bank
an envy
your
trumpet
player1EmbedShare URLCopyEmbedCopy"
Can’t Help Falling in Love,"Wise men say, only fools rush in
But I can't help falling in love with you
Shall I stay, will it be a sin
If I can't help falling in love with you ?

Like a river flows surely to the sea
Darling, so it goes, some things were meant to be
Take my hand, take my whole life too
For I can't help falling in love with youEmbedShare URLCopyEmbedCopy"
I’ll Keep It with Mine,"You will search, babe
At any cost
But how long, babe
Can you search for what is not lost?
Everybody will help you
Some people are very kind
But if I can save you any time
Come on, give it to me
I'll keep it with mine

I can't help it
If you might think I am odd
If I say I'm loving you not for what you are
But for what you're not
Everybody will help you
Discover what you set out to find
But if I can save you any time
Come on, give it to me
I'll keep it with mine

The train leaves
At half past ten
But it will be back
In the same old spot again
The conductor
He's still stuck on the line
And if I can save you any time
Come on, give it to me
I’ll keep it with mine1EmbedShare URLCopyEmbedCopy"
Nashville Skyline Rag,
New Morning,"Can’t you hear that rooster crowing?
Rabbit running down across the road
Underneath the bridge where the water flowed through
So happy just to see you smile
Underneath the sky of blue
On this new morning, new morning
On this new morning with you

Can’t you hear that motor turning?
Automobile coming into style
Coming down the road for a country mile or two
So happy just to see you smile
Underneath the sky of blue
On this new morning, new morning
On this new morning with you

The night passed away so quickly
It always does when you’re with me

Can’t you feel that sun a-shining?
Ground hog running by the country stream
This must be the day that all of my dreams come true
So happy just to be alive
Underneath the sky of blue
On this new morning, new morning
On this new morning with you
So happy just to be alive
Underneath the sky of blue
On this new morning, new morning
On this new morning with you
New morningEmbedShare URLCopyEmbedCopy"
When the Deal Goes Down,"In the still of the night, in the world's ancient light
Where wisdom grows up in strife
My bewildering brain, toils in vain
Through the darkness on the pathways of life
Each invisible prayer is like a cloud in the air
Tomorrow keeps turning around
We live and we die, we know not why
But I'll be with you when the deal goes down

We eat and we drink, we feel and we think
Far down the street we stray
I laugh and I cry and I'm haunted by
Things I never meant nor wished to say
The midnight rain follows the train
We all wear the same thorny crown
Soul to soul, our shadows roll
And I'll be with you when the deal goes down

The moon gives light and shines by night
I scarcely feel the glow
We learn to live and then we forgive
O'er the road we're bound to go
More frailer than the flowers, these precious hours
That keep us so tightly bound
You come to my eyes like a vision from the skies
And I'll be with you when the deal goes down
I picked up a rose and it poked through my clothes
I followed the winding stream
I heard a deafening noise, I felt transient joys
I know they're not what they seem
In this earthly domain, full of disappointment and pain
You'll never see me frown
I owe my heart to you, and that's saying' it true
And I'll be with you when the deal goes down4EmbedShare URLCopyEmbedCopy"
The Weight,"I pulled into Nazareth, was feeling about half past dead;
I just need some place where I can lay my head
""Hey, mister, can you tell me where a man might find a bed?""
He just grinned and shook my hand, and ""No!"", was all he said

Take a load off Fanny, take a load for free;
Take a load off Fanny, And (and) (and) you can put the load right on me

I picked up my bag, I went looking for a place to hide;
When I saw Carmen and the Devil walking side by side
I said, ""Hey, Carmen, come on, let's go downtown.""
She said, ""I gotta go, but m'friend can stick around.""


Go down, Miss Moses, there's nothing you can say
It's just ol' Luke, and Luke's waitin' on the Judgement Day
""Well, Luke, my friend, what about young Anna Lee?""
He said, ""Do me a favor, son, woncha stay and keep Anna Lee company?""

Crazy Chester followed me, and he caught me in the fog
He said, ""I will fix your rack, if you'll take Jack, my dog.""
I said, ""Wait a minute, Chester, you know I'm a peaceful man.""
He said, ""That's okay, boy, won't you feed him when you can.""


Catch a cannon ball now, t'take me down the line
My bag is sinking' low and I do believe it's time
To get back to Miss Fanny, you know she's the only one
Who sent me here with her regards for everyone
EmbedShare URLCopyEmbedCopy"
The Wicked Messenger,"There was a wicked messenger
From Eli he did come
With a mind that multiplied the smallest matter
When questioned who had sent for him
He answered with his thumb
For his tongue it could not speak, but only flatter

He stayed behind the assembly hall
It was there he made his bed
Oftentimes he could be seen returning
Until one day he just appeared
With a note in his hand which read
“The soles of my feet, I swear they’re burning”

Oh, the leaves began to falling
And the seas began to part
And the people that confronted him were many
And he was told but these few words
Which opened up his heart
“If ye cannot bring good news, then don’t bring any”EmbedShare URLCopyEmbedCopy"
Black Crow Blues,"I woke in the mornin', wandering
Weary and worn out
I woke in the morning’, wandering
Weary and worn out
Wishin’ my long-lost lover
Would walk to me, and talk to me, tell me what it’s all about

I was standin’ at the side road
Listenin’ to the billboard knock
Standin' at the side road
Listenin’ to the billboard knock
Well, my wrist was empty
But my nerves were kickin’, tickin’ like a clock

Well I got anything you need, babe
Let me tell you in front
If I got anything you need, babe
Let me tell you in front
You can come to me sometime
Night time, day time, any time you want

Sometimes I’m thinkin' I’m
Too high to fall
Sometimes I’m thinkin' I’m
Much too high to fall
Other times I’m thinkin' I’m
So low I don’t know if I can come up at all
Black crows in the meadow
Sleepin' across a broad highway
Black crows in the meadow
Across a broad highway
Though it’s funny, honey
I'm outta' touch, don’t feel much like a scarecrow todayEmbedShare URLCopyEmbedCopy"
Drifter’s Escape,"“Oh, help me in my weakness”
I heard the drifter say
As they carried him from the courtroom
And were taking him away
“My trip hasn’t been a pleasant one
And my time it isn’t long
And I still do not know
What it was that I’ve done wrong”

Well, the judge, he cast his robe aside
A tear came to his eye
“You fail to understand,” he said
“Why must you even try?”
Outside, the crowd was stirring
You could hear it from the door
Inside, the judge was stepping down
While the jury cried for more

“Oh, stop that cursed jury”
Cried the attendant and the nurse
“The trial was bad enough
But this is ten times worse”
Just then a bolt of lightning
Struck the courthouse out of shape
And while ev’rybody knelt to pray
The drifter did escapeEmbedShare URLCopyEmbedCopy"
Dirt Road Blues,"Gon' walk down that dirt road, ’til someone lets me ride
Gon' walk down that dirt road, ’til someone lets me ride
If I can’t find my baby, I’m gonna run away and hide

Well, I've have been pacing around the room hoping maybe she’d come back
Pacing around the room hoping maybe she’d come back
Well, I have been praying for salvation laying ’round in a one-room country shack

Gon' walk down that dirt road until my eyes begin to bleed
Gon' walk down that dirt road until my eyes begin to bleed
’Til there’s nothing left to see, ’til the chains have been shattered
And I’ve been freed

But I've been looking at my shadow, I been watching the colors up above
Looking at my shadow, watching the colors up above
Rolling through the rain and hail, looking for the sunny side of love


Gon' walk on down that dirt road 'til everything becomes the same
Gon' walk down that dirt road 'til everything becomes the same
Well, I keep on walking 'til I hear her holler out my nameEmbedShare URLCopyEmbedCopy"
Man Gave Names to All the Animals,"Man gave names to all the animals
In the beginning, in the beginning
Man gave names to all the animals
In the beginning, long time ago

He saw an animal that liked to growl
Big furry paws and he liked to howl
Great big furry back and furry hair
“Ah, think I’ll call it a bear”

Man gave names to all the animals
In the beginning, in the beginning
Man gave names to all the animals
In the beginning, long time ago

He saw an animal up on a hill
Chewing up so much grass until she was filled
He saw milk coming out but he didn’t know how
“Ah, think I’ll call it a cow”

Man gave names to all the animals
In the beginning, in the beginning
Man gave names to all the animals
In the beginning, long time ago
He saw an animal that liked to snort
Horns on his head and they weren’t too short
It looked like there wasn’t nothing that he couldn’t pull
“Ah, think I’ll call it a bull”

Man gave names to all the animals
In the beginning, in the beginning
Man gave names to all the animals
In the beginning, long time ago

He saw an animal leaving a muddy trail
Real dirty face and a curly tail
He wasn’t too small and he wasn’t too big
“Ah, think I’ll call it a pig”

Man gave names to all the animals
In the beginning, in the beginning
Man gave names to all the animals
In the beginning, long time ago

Next animal that he did meet
Had wool on his back and hooves on his feet
Eating grass on a mountainside so steep
“Ah, think I’ll call it a sheep”
Man gave names to all the animals
In the beginning, in the beginning
Man gave names to all the animals
In the beginning, long time ago

He saw an animal as smooth as glass
Slithering his way through the grass
Saw him disappear by a tree near a lake2EmbedShare URLCopyEmbedCopy"
Fixin’ to Die,"Feeling funny in my mind, Lord
I believe I'm fixing to die, fixing to die
Feeling funny in my mind, Lord
I believe I'm fixing to die
Well, I don't mind dying
But I hate to leave my children crying
Well, I look over yonder to that burying ground
Look over yonder to that burying ground
Sure seems lonesome, Lord, when the sun goes down

Feeling funny in my eyes, Lord
I believe I'm fixing to die, fixing to die
Feeling funny in my eyes, Lord
I believe I'm fixing to die
Well, I don't mind dying but
I hate to leave my children crying
There's a black smoke rising, Lord
It's rising up above my head, up above my head
It's rising up above my head, up above my head
And tell Jesus make up my dying bed

I'm walking kind of funny, Lord
I believe I'm fixing to die, fixing to die
Yes I'm walking kind of funny, Lord
I believe I'm fixing to die
Fixing to die, fixing to die
Well, I don't mind dying
But I hate to leave my children crying2EmbedShare URLCopyEmbedCopy"
Country Pie,"Just like old Saxophone Joe
When he’s got the hogshead up on his toe
Oh me, oh my
Love that country pie

Listen to the fiddler play
When he’s playin' 'til the break of day
Oh me, oh my
Love that country pie

Raspberry, strawberry, lemon, and lime
What do I care?
Blueberry, apple, cherry, pumpkin, and plum
Call me for dinner, honey, I’ll be there

Saddle me up my big white goose
Tie me on her and turn her loose
Oh me, oh my
Love that country pie

I don’t need much, that ain’t no lie
Ain’t runnin' any race
Give to me my country pie
I won’t throw it up in anybody’s face
Shake me up that old peach tree
A'Little Jack Horner got nothin’ on me
Oh me, oh my
Love that country pie1EmbedShare URLCopyEmbedCopy"
Is Your Love in Vain?,"Do you love me, or are you just extending goodwill?
Do you need me half as bad as you say, or are you just feeling guilt?
I’ve been burned before and I know the score
So you won’t hear me complain
Will I be able to count on you
Or is your love in vain?

Are you so fast that you cannot see that I must have solitude?
When I am in the darkness, why do you intrude?
Do you know my world, do you know my kind
Or must I explain?
Will you let me be myself
Or is your love in vain?

Well I’ve been to the mountain and I’ve been in the wind
I’ve been in and out of happiness
I have dined with kings, I’ve been offered wings
And I’ve never been too impressed

All right, I’ll take a chance, I will fall in love with you
If I’m a fool you can have the night, you can have the morning too
Can you cook and sew, make flowers grow
Do you understand my pain?
Are you willing to risk it all
Or is your love in vain?
Can you cook and sew, make flowers grow
Do you understand my pain?
Are you willing to risk it all
Or is your love in vain?1EmbedShare URLCopyEmbedCopy"
Dirge,"I hate myself for loving’ you and the weakness that it showed
You were just a painted face on a trip down Suicide Road
The stage was set, the lights went out all around the old hotel
I hate myself for loving’ you and I’m glad the curtain fell

I hate that foolish game we played and the need that was expressed
And the mercy that you showed to me, who ever would have guessed?
I went out on Lower Broadway and I felt that place within
That hollow place where martyrs weep and angels play with sin

Heard your songs of freedom and man forever stripped
Acting out his folly while his back is being whipped
Like a slave in orbit, he’s beaten ’till he’s tame
All for a moment’s glory and it’s a dirty, rotten shame

There are those who worship loneliness, I’m not one of them
In this age of fiberglass I’m searching for a gem
The crystal ball up on the wall hasn’t shown me nothing yet
I’ve paid the price of solitude, but at least I’m out of debt

Can’t recall a useful thing you ever did for me
’Cept pat me on the back one time when I was on my knees
We stared into each other’s eyes ’till one of us would break
No use to apologize, what difference would it make?
So sing your praise of progress and of the Doom Machine
The naked truth is still taboo whenever it can be seen
Lady Luck, who shines on me, will tell you where I’m at
I hate myself for loving’ you, but I should get over that1EmbedShare URLCopyEmbedCopy"
Someday Baby,"I don't care what you do, I don't care what you say
I don't care where you go or how long you stay
Someday baby, you are not going to worry po' me any more

Well you take my money and you turn me out
You fill me up with nothing but self doubt
Someday baby, you are not going to worry po' me anymore

When I was young, driving was my crave
You drive me so hard, almost to the grave
Someday baby, you are not going to worry po' me anymore

I'm so hard pressed, my mind tied up in knots
I keep recycling the same old thoughts
Someday baby you are not going to worry Po' me anymore

So many good things in life that I overlooked
I don't know what to do now, you got me so hooked
Someday baby you are not going to worry po' me any more

Well, I don't want to brag, but I'm going to ring your neck
When all else fails I'll make it a matter of self-respect
Someday baby, you are not going to worry Po' me any more
You can take your clothes put em in a sack
You gain' down the road, baby and you can't come back
Someday baby you are not going to worry po' me any more

I try to be friendly, I try to be kind
Now I'm gonna drive you from your home, just like I was driven from mine
Someday baby you are not going to worry po' me any more

Living this way is not a natural thing to do
Why was I born to love you?
Someday baby, you are not going to worry po' me any moreEmbedShare URLCopyEmbedCopy"
I Guess I’ll Have to Change My Plans,"I guess I'll have to change my plan
I should have realized there'd be another man
I overlooked that point completely
Until the big affair began
Before I knew where I was at
I found myself upon the shelf and that was that
I tried to reach the moon but when I got there
All that I could get was the air
My feet are back upon the ground
I lost the one girl I'd found
Before I knew where I was at
I found myself upon the shelf and that was that
I tried to reach the moon but when I got there
All that I could get was the air
My feet are back upon the ground
I lost the one girl
The one girl I'd found
My boiling point is much too low
For me to try to be a fly LotharioEmbedShare URLCopyEmbedCopy"
Man of Peace,"Look out your window, baby, there’s a scene you’d like to catch
The band is playing “Dixie,” a man got his hand outstretched
Could be the Führer
Could be the local priest
You know sometimes Satan comes as a man of peace

He got a sweet gift of gab, he got a harmonious tongue
He knows every song of love that ever has been sung
Good intentions can be evil
Both hands can be full of grease
You know that sometimes Satan comes as a man of peace

Well, first he’s in the background, then he’s in the front
Both eyes are looking like they’re on a rabbit hunt
Nobody can see through him
No, not even the Chief of Police
You know that sometimes Satan comes as a man of peace

Well, he catch you when you’re hoping for a glimpse of the sun
Catch you when your troubles feel like they weigh a ton
He could be standing next to you
The person that you’d notice least
I hear that sometimes Satan comes as a man of peace
Well, he can be fascinating, he can be dull
He can ride down Niagara Falls in the barrels of your skull
I can smell something cooking
I can tell there’s going to be a feast
You know that sometimes Satan comes as a man of peace

He’s a great humanitarian, he’s a great philanthropist
He knows just where to touch you, honey, and how you like to be kissed
He’ll put both his arms around you
You can feel the tender touch of the beast
You know that sometimes Satan comes as a man of peace

Well, the howling wolf will howl tonight, the king snake will crawl
Trees that’ve stood for a thousand years suddenly will fall
Want to get married? Do it now
Tomorrow all activity will cease
You know that sometimes Satan comes as a man of peace

Somewhere Mama’s weeping for her blue-eyed boy
She’s holding them little white shoes and that little broken toy
And he’s following a star
The same one them three men followed from the East
I hear that sometimes Satan comes as a man of peaceEmbedShare URLCopyEmbedCopy"
’Cross the Green Mountain,"I cross the green mountain, I slept by the stream
Heaven blazin' in my head, I dreamt a monstrous dream
Somethin' came up out of the sea
Swept through the land of the rich and the free
I look into the eyes of my merciful friend
And then I ask myself, is this the end?
Memories linger, sad yet sweet
And I think of the souls in heaven who will meet
Altars are burnin' with flames far and wide
The foe has crossed over from the other side
They tip their caps from the top of the hill
You can feel them come, more brave blood to spill
Along the dim Atlantic line
The ravaged land lies for miles behind
The light's comin' forward and the streets are broad
All must yield to the avengin' God
The world is old, the world is gray
Lessons of life can't be learned in a day
I watch and I wait and I listen while I stand
To the music that comes from a far better land
Close the eyes of our captain, peace may he know
His long night is done, the great leader is laid low
He was ready to fall, he was quick to defend
Killed outright he was, by his own men
It's the last day's last hour of the last happy year
I feel that the unknown world is so near
Pride will vanish and glory will rot
But virtue lives and cannot be forgot
The bells of the evening have rung
There's blasphemy on every tongue
Let 'em say that I walked in fair nature's light
And that I was loyal to truth and to right
Serve God and be cheerful, look upward, beyond
Beyond the darkness of masks, the surprises of dawn
In the deep green grasses of the blood stained wood
They never dreamed of surrenderin', they fell where they stood
Stars fell over Alabama, I saw each star
You're walkin' in dreams, whoever you are
Chilled are the skies, keen is the frost
The grounds froze hard and the morning is lost
A letter to mother came today
Gun shot wound to the breast is what it did say
But he'll be better soon, he's in a hospital bed
But he'll never be better, he's already dead
I'm ten miles outside the city and I'm lifted away
In an ancient light that is not of day
They were calm, they were blunt, we knew 'em all too well
We loved each other more than we ever dared to tellEmbedShare URLCopyEmbedCopy"
This Old Man,"This old man, he played one
He played knick-knack on my drum
With a knick-knack paddywhack
Give your dog a bone
This old man came rolling home
This old man, he played two
He played knick-knack on my shoe
With a knick-knack paddywhack
Give your dog a bone
This old man came rolling home
This old man, he played three
He played knick-knack on my knee
With a knick-knack paddywhack
Give your dog a bone
This old man came rolling home
This old man, he played four
He played knick-knack on my door
With a knick-knack paddywhack
Give your dog a bone
This old man came rolling home
This old man, he played five
He played knick-knack on my hive
With a knick-knack paddywhack
Give your dog a bone
This old man came rolling home
This old man, he played six
He played knick-knack on my sticks
With a knick-knack paddywhack
Give your dog a bone
This old man came rolling home
This old man, he played seven
He played knick-knack up to heaven
With a knick-knack paddywhack
Give your dog a bone
This old man came rolling home
This old man, he played eight
He played knick-knack on my plate
With a knick-knack paddywhack
Give your dog a bone
This old man came rolling home
This old man, he played nine
He played knick-knack on my spine
With a knick-knack paddywhack
Give your dog a bone
This old man came rolling home
This old man, he played ten
He played knick-knack now an' then
With a knick-knack paddywhack
Give your dog a bone
This old man came rolling homeEmbedShare URLCopyEmbedCopy"
Don’t Fall Apart on Me Tonight,"Just a minute 'fore you leave, girl
Just a minute 'fore you touch the door
What is it that you’re trying to achieve, girl?
Do you think we can talk about it some more?
You know, the streets are filled with vipers
Who’ve lost all ray of hope
You know, it's not even safe no more
In the palace of the Pope
Don’t fall apart on me tonight
I just don’t think that I could handle it
Don’t fall apart on me tonight
Yesterday’s just a memory
Tomorrow is never what it’s supposed to be
And I need you, yeah

Come over here from over there, girl
Sit down here, you can have my chair
I can’t see us goin' anywhere, girl
The only place open is a thousand miles away
And I can’t take you there
I wished I’d have been a doctor
Maybe I’d have saved some life that've been lost
Maybe I’d have done some good in the world
Instead of burning every bridge I crossed
Don’t fall apart on me tonight
I just don’t think that I could handle it
Don’t fall apart on me tonight
Yesterday’s just a memory
Tomorrow's never what it’s supposed to be
And I need you, ah, yeah

I ain't too good at conversation, girl
So you might not know exactly how I feel
But if I could I’d bring you to the mountain top, girl
And build you a house made out of stainless steel
But it’s like I’m stuck inside a painting
That’s a-hanging in the Louvre
My throat starts to tickle and my nose itches
But I know that I can’t move

Don’t fall apart on me tonight
I just don’t think that I could handle it
Don’t fall apart on me tonight
Yesterday’s gone but the past live' on
Tomorrow's just one step beyond
And I need you, ah
Who are these people that are walking towards you?
Do you know them or will there be a fight?
With their humorless smiles so easy to see through
Can they tell you what’s wrong from what’s right?
Oh, do you remember St. James Street
Where you blew Jackie P.’s mind?
You were so fine, Clark Gable would have fell at your feet
And laid his life on the line
Let’s try to get beneath the surface waste, girl
No more booby traps and bombs
No more decadence and charms
No more affection that’s misplaced, girl
No more mudcake creatures lying in your arms
What about that millionaire
With the drumsticks in his pants?
He looked so baffled and so bewildered
When he played and we didn’t dance

Don’t fall apart on me tonight
I just don’t think that I could handle it
Don’t fall apart on me tonight
Yesterday is just a memory
Tomorrow's never what it’s supposed to be
And I need you
Yeah, you, ah
I need youEmbedShare URLCopyEmbedCopy"
Paths of Victory,"Trails of troubles
Roads of battles
Paths of victory
I shall walk

The trail is dusty
And my road it might be rough
But the better roads are waiting
And boys it ain’t far off


I walked down by the river
I turned my head up high
I saw that silver linin’
That was hanging in the sky


The evening dusk was rolling
I was walking down the track
There was a one-way wind a-blowin’
And it was blowin’ at my back

The gravel road is bumpy
It’s a hard road to ride
But there’s a clearer road a-waitin’
With the cinders on the side


That evening train was rolling
The humming of its wheels
My eyes they saw a better day
As I looked across the fields


The trail is dusty
The road it might be rough
But the good road is a-waiting
And boys it ain’t far off
EmbedShare URLCopyEmbedCopy"
Little Drummer Boy,"Come they told me, pa rum pum pum pum
A new born King to see, pa rum pum pum pum
Our finest gifts we bring, pa rum pum pum pum
To lay before the King, pa rum pum pum pum
Rum pum pum pum
Rum pum pum pum
And so to honor Him, pa rum pum pum pum
When we come

Little baby, pa rum pum pum pum
I am a poor boy too, pa rum pum pum pum
I have no gift to bring, pa rum pum pum pum
That's fit to give a King, pa rum pum pum pum
Rum pum pum pum
Rum pum pum pum
Shall I play for you, pa rum pum pum
On my drum
On my drum

Mary nodded, pa rum pum pum pum
The ox and lamb kept time, pa rum pum pum pum
I played my drum for Him, pa rum pum pum
I played my best for Him, pa rum pum pum pum
Rum pum pum pum
Rum pum pum pum
Then He smiled at me, pa rum pum pum pum
Me and my drum
Me and my drumEmbedShare URLCopyEmbedCopy"
