,title,release_date,production_budget,domestic_gross,worldwide_gross,genre,story_source,creative_type,production_method,production_company,MPAA_Rating,runtime,opening_theater_count,max_theater_count,avg_run_per_theater,actors,directors
766,Dreamcatcher,"Mar 21, 2003","$68,000,000","$33,685,268","$75,685,268",Drama,Based on Fiction Book/Short Story,Science Fiction,Live Action,Village Roadshow Productions,All Time Domestic Box Office for R Movies (Rank 701-800),133 minutes,"2,945","2,945",3.7 weeks,,
767,Mystery Men,"Aug 6, 1999","$68,000,000","$29,762,011","$33,462,011",All Time Domestic Box Office for Comedy Movies (Rank 501-600),Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,,PG-13,121 minutes,"2,136","2,136",4.5 weeks,,
768,The Insider,"Nov 5, 1999","$68,000,000","$28,965,197","$60,265,197",Drama,Based on Fiction Book/Short Story,Dramatization,Live Action,,"All Time Domestic Box Office for R Movies (Rank 901-1,000)",158 minutes,"1,809","1,809",6.8 weeks,,
769,Downsizing,"Dec 22, 2017","$68,000,000","$24,449,754","$54,462,971",All Time Domestic Box Office for Comedy Movies (Rank 601-700),Original Screenplay,Science Fiction,Live Action,Paramount Pictures,"All Time Domestic Box Office for R Movies (Rank 1,001-1,100)",135 minutes,"2,668","2,668",3.0 weeks,Matt Damon,Alexander Payne
770,Doctor Seuss' The Lorax,"Mar 1, 2012","$67,500,000","$214,030,500","$350,976,753",Adventure,Based on Fiction Book/Short Story,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Chris Meledandri,PG,101 minutes,"3,729","3,729",7.8 weeks,Danny DeVito | Zac Efron | Taylor Swift,Chris Renaud
771,Body of Lies,"Oct 10, 2008","$67,500,000","$39,394,666","$118,556,530",Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Warner Bros.,All Time Domestic Box Office for R Movies (Rank 601-700),128 minutes,"2,710","2,710",4.2 weeks,,
772,Abraham Lincoln: Vampire Hunter,"Jun 20, 2012","$67,500,000","$37,519,139","$137,489,730",Horror,Based on Fiction Book/Short Story,Fantasy,Live Action,20th Century Fox,All Time Domestic Box Office for R Movies (Rank 701-800),105 minutes,"3,108","3,108",3.1 weeks,Benjamin Walker,Timur Bekmambetov
773,Last Man Standing,"Sep 20, 1996","$67,000,000","$18,115,927","$18,115,927",Action,Original Screenplay,Historical Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,201-1,300)",,"2,561","2,561",3.7 weeks,,
774,The Last Legion,"Aug 17, 2007","$67,000,000","$5,932,060","$25,357,771",Action,Based on Fiction Book/Short Story,Historical Fiction,Live Action,Dino De Laurentiis,PG-13,110 minutes,"2,002","2,002",2.2 weeks,,
775,Entrapment,"Apr 30, 1999","$66,000,000","$87,707,396","$211,700,000",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,Regency Enterprises,PG-13,,"2,814","2,814",8.5 weeks,,
776,The X Files: Fight the Future,"Jun 19, 1998","$66,000,000","$83,898,313","$189,176,423",Action,Based on TV,Science Fiction,Live Action,,PG-13,,"2,629","2,629",5.7 weeks,,
777,Need for Speed,"Mar 13, 2014","$66,000,000","$43,568,507","$194,169,619",Action,Based on Game,Contemporary Fiction,Live Action,Electronic Arts,PG-13,130 minutes,"3,115","3,115",4.0 weeks,Aaron Paul,Scott Waugh
778,Saving Private Ryan,"Jul 24, 1998","$65,000,000","$216,335,085","$485,035,085",Drama,Original Screenplay,Historical Fiction,Live Action,Amblin Entertainment,All Time Domestic Box Office for R Movies,169 minutes,"2,453","2,453",15.1 weeks,Tom Hanks | Edward Burns | Tom Sizemore | Matt Damon,Steven Spielberg
779,What Women Want,"Dec 15, 2000","$65,000,000","$182,805,123","$374,105,123",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,Paramount Pictures,PG-13,126 minutes,"3,012","3,012",9.5 weeks,,
780,Lincoln,"Nov 9, 2012","$65,000,000","$182,207,973","$273,346,281",Drama,Based on Factual Book/Article,Dramatization,Live Action,DreamWorks Pictures,PG-13,149 minutes,11,11,13.0 weeks,Daniel Day-Lewis,Steven Spielberg
781,Ice Age,"Mar 15, 2002","$65,000,000","$176,387,405","$386,116,343",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Blue Sky Studios,PG,81 minutes,"3,316","3,316",9.0 weeks,,
782,Apollo 13,"Jun 30, 1995","$65,000,000","$173,772,767","$335,802,271",Drama,Based on Factual Book/Article,Dramatization,Live Action,Image Entertainment,PG,139 minutes,"2,197","2,197",11.8 weeks,Tom Hanks,Ron Howard
783,The Matrix,"Mar 31, 1999","$65,000,000","$171,479,930","$463,508,247",Action,Original Screenplay,Science Fiction,Live Action,Village Roadshow Productions,All Time Domestic Box Office for R Movies,136 minutes,"2,849","2,849",12.2 weeks,,
784,Hotel Transylvania 3: Summer Vacation,"Jun 22, 2018","$65,000,000","$167,500,092","$527,060,998",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Sony Pictures Animation,PG,97 minutes,"4,267","4,267",6.4 weeks,Adam Sandler | Andy Samberg | Selena Gomez | Kevin James | David Spade | Steve Buscemi | Keegan-Michael Key,Genndy Tartakovsky
785,Les MisÃ©rables,"Dec 19, 2012","$65,000,000","$148,809,770","$442,169,052",Musical,Based on Fiction Book/Short Story,Historical Fiction,Live Action,Universal Pictures,PG-13,158 minutes,"2,814","2,814",6.5 weeks,Hugh Jackman | Russell Crowe | Anne Hathaway | Amanda Seyfried | Eddie Redmayne | Helena Bonham Carter | Sacha Baron Cohen,Tom Hooper
786,The Santa Clause 2,"Nov 1, 2002","$65,000,000","$139,225,854","$172,825,854",Adventure,Original Screenplay,Kids Fiction,Live Action,,G,105 minutes,"3,350","3,350",7.8 weeks,,
787,Total Recall,"Jun 1, 1990","$65,000,000","$119,394,839","$261,400,000",Action,Based on Fiction Book/Short Story,Science Fiction,Live Action,,All Time Domestic Box Office for R Movies (Rank 101-200),113 minutes,"2,060","2,060",7.0 weeks,Sharon Stone | Arnold Schwarzenegger,Paul Verhoeven
788,You've Got Mail,"Dec 18, 1998","$65,000,000","$115,821,495","$250,800,000",Drama,Based on Play,Contemporary Fiction,Live Action,Warner Bros.,PG,119 minutes,"2,691","2,691",8.3 weeks,Tom Hanks | Meg Ryan,Nora Ephron
789,Unbroken,"Dec 25, 2014","$65,000,000","$115,637,895","$163,527,824",Drama,Based on Factual Book/Article,Dramatization,Live Action,Jolie Pas,PG-13,137 minutes,"3,131","3,131",4.8 weeks,Jack O'Connell,Angelina Jolie
790,Spy!,"May 21, 2015","$65,000,000","$110,825,712","$232,585,748",All Time Domestic Box Office for Comedy Movies,Original Screenplay,Contemporary Fiction,Live Action,Chernin Entertainment,All Time Domestic Box Office for R Movies (Rank 101-200),115 minutes,"3,711","3,711",5.7 weeks,Melissa McCarthy | Jude Law | Jason Statham,Paul Feig
791,Due Date,"Nov 5, 2010","$65,000,000","$100,539,043","$211,739,043",All Time Domestic Box Office for Comedy Movies (Rank 101-200),Original Screenplay,Contemporary Fiction,Live Action,Legendary Pictures,All Time Domestic Box Office for R Movies (Rank 101-200),95 minutes,"3,355","3,355",5.9 weeks,"Robert Downey, Jr. | Zach Galifianakis",Todd Phillips
792,Step Brothers,"Jul 25, 2008","$65,000,000","$100,468,793","$128,468,793",All Time Domestic Box Office for Comedy Movies (Rank 101-200),Original Screenplay,Contemporary Fiction,Live Action,Columbia Pictures,All Time Domestic Box Office for R Movies (Rank 101-200),95 minutes,"3,094","3,094",5.1 weeks,,
793,Jumanji,"Dec 15, 1995","$65,000,000","$100,458,310","$262,758,310",Adventure,Based on Fiction Book/Short Story,Fantasy,Live Action,Tri-Star Pictures,PG,100 minutes,"2,487","2,487",9.7 weeks,,
794,The Mask of Zorro,"Jul 17, 1998","$65,000,000","$93,828,745","$233,700,000",Adventure,All Time Domestic Box Office for Remake Movies,Historical Fiction,Live Action,Amblin Entertainment,PG-13,140 minutes,"2,515","2,515",9.1 weeks,,
795,Space Cowboys,"Aug 4, 2000","$65,000,000","$90,454,043","$128,874,043",Adventure,Original Screenplay,Science Fiction,Live Action,Warner Bros.,PG-13,130 minutes,"2,805","2,805",10.0 weeks,,
796,Annie,"Dec 18, 2014","$65,000,000","$85,911,262","$139,829,625",Musical,All Time Domestic Box Office for Remake Movies,Contemporary Fiction,Live Action,Overbrook Entertainment,PG,118 minutes,"3,116","3,116",5.0 weeks,Jamie Foxx | QuvenzhanÃ© Wallis,Will Gluck
797,Cliffhanger,"May 28, 1993","$65,000,000","$84,049,211","$255,000,000",Action,Original Screenplay,Contemporary Fiction,Live Action,,All Time Domestic Box Office for R Movies (Rank 201-300),,"2,333","2,333",5.5 weeks,,
798,Peteâs Dragon,"Aug 10, 2016","$65,000,000","$76,233,151","$137,768,975",Adventure,All Time Domestic Box Office for Remake Movies,Kids Fiction,Animation/Live Action,Walt Disney Pictures,PG,103 minutes,"3,702","3,702",5.8 weeks,Oakes Fegley,David Lowery
799,Broken Arrow,"Feb 9, 1996","$65,000,000","$70,645,997","$148,345,997",Action,Original Screenplay,Contemporary Fiction,Live Action,20th Century Fox,All Time Domestic Box Office for R Movies (Rank 201-300),108 minutes,"2,388","2,388",8.3 weeks,John Travolta | Christian Slater,John Woo
800,World Trade Center,"Aug 9, 2006","$65,000,000","$70,278,893","$163,295,654",Drama,Based on Real Life Events,Dramatization,Live Action,Michael Shamberg,PG-13,129 minutes,"2,957","2,957",5.7 weeks,,
801,The Kid,"Jul 7, 2000","$65,000,000","$69,688,384","$69,688,384",All Time Domestic Box Office for Comedy Movies (Rank 201-300),Original Screenplay,Contemporary Fiction,Live Action,Walt Disney Pictures,PG,104 minutes,"2,167","2,167",8.2 weeks,,
802,Mona Lisa Smile,"Dec 19, 2003","$65,000,000","$63,803,100","$141,205,169",Drama,Original Screenplay,Historical Fiction,Live Action,,PG-13,,"2,677","2,677",5.4 weeks,,
803,The Dictator,"May 16, 2012","$65,000,000","$59,650,222","$180,148,897",All Time Domestic Box Office for Comedy Movies (Rank 201-300),Original Screenplay,Contemporary Fiction,Live Action,Paramount Pictures,All Time Domestic Box Office for R Movies (Rank 301-400),83 minutes,"3,008","3,008",4.1 weeks,Sacha Baron Cohen,Larry Charles
804,Eyes Wide Shut,"Jul 16, 1999","$65,000,000","$55,691,208","$104,267,443",Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Pole Star Limited,All Time Domestic Box Office for R Movies (Rank 401-500),159 minutes,"2,411","2,411",4.7 weeks,Tom Cruise | Nicole Kidman,Stanley Kubrick
805,This Means War,"Feb 16, 2012","$65,000,000","$54,760,791","$156,974,557",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,Overbrook Entertainment,PG-13,120 minutes,"3,189","3,189",4.9 weeks,Reese Witherspoon | Chris Pine | Tom Hardy,McG*
806,Focus,"Feb 26, 2015","$65,000,000","$53,862,963","$168,065,700",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,Di Novi Pictures,PG-13,105 minutes,"3,323","3,323",4.3 weeks,Will Smith | Margot Robbie,Glenn Ficarra | John Requa
807,Blade: Trinity,"Dec 8, 2004","$65,000,000","$52,397,389","$131,353,165",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Amen Ra Films,All Time Domestic Box Office for R Movies (Rank 401-500),113 minutes,"2,912","2,912",4.6 weeks,,
808,Red Dawn,"Nov 21, 2012","$65,000,000","$44,806,783","$48,164,150",Action,All Time Domestic Box Office for Remake Movies (Rank 101-200),Contemporary Fiction,Live Action,Contrafilm,PG-13,93 minutes,"2,725","2,725",4.7 weeks,Chris Hemsworth | Josh Peck | Adrianne Palicki | Josh Hutcherson | Isabel Lucas,Dan Bradley
809,We Are Marshall,"Dec 22, 2006","$65,000,000","$43,545,364","$43,545,364",Drama,Based on Real Life Events,Dramatization,Live Action,,PG,,"2,606","2,606",5.2 weeks,,
810,Everest,"Aug 17, 2015","$65,000,000","$43,482,270","$221,297,061",Thriller/Suspense,Based on Real Life Events,Dramatization,Live Action,Working Title Films,PG-13,121 minutes,545,545,3.6 weeks,Jason Clarke | Sam Worthington | Jake Gyllenhaal,Baltasar Kormakur
811,Resident Evil: Retribution,"Sep 12, 2012","$65,000,000","$42,345,531","$240,647,629",Action,Based on Game,Science Fiction,Live Action,Screen Gems,All Time Domestic Box Office for R Movies (Rank 601-700),95 minutes,"3,012","3,012",3.5 weeks,Milla Jovovich,Paul W.S. Anderson
812,The Angry Birds Movie 2,"Aug 2, 2019","$65,000,000","$41,657,076","$149,576,212",Adventure,Based on Game,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies (Rank 101-200),Rovio Animation,PG,96 minutes,"3,869","3,869",4.1 weeks,Jason Sudeikis | Josh Gad | Leslie Jones | Bill Hader | Rachel Bloom | Awkwafina* | Sterling K. Brown | Eugenio Derbez | Danny McBride | Peter Dinklage | Pete Davidson | Zach Woods | Dove Cameron | Lil Rel Howery | Nicki Minaj | Beck Bennett | Brooklynn Prince,Thurop Van Orman
813,Primary Colors,"Mar 20, 1998","$65,000,000","$39,017,984","$39,017,984",All Time Domestic Box Office for Comedy Movies (Rank 401-500),Based on Fiction Book/Short Story,Dramatization,Live Action,,All Time Domestic Box Office for R Movies (Rank 601-700),,"1,965","1,965",6.3 weeks,,
814,Fight Club,"Oct 15, 1999","$65,000,000","$37,030,102","$100,841,550",Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Regency Enterprises,All Time Domestic Box Office for R Movies (Rank 701-800),139 minutes,"1,963","1,963",5.4 weeks,,
815,Death Race,"Aug 22, 2008","$65,000,000","$36,316,032","$72,516,819",Action,All Time Domestic Box Office for Remake Movies (Rank 101-200),Science Fiction,Live Action,Relativity Media,All Time Domestic Box Office for R Movies (Rank 701-800),110 minutes,"2,532","2,532",4.6 weeks,,
816,The Long Kiss Goodnight,"Oct 11, 1996","$65,000,000","$33,447,612","$33,447,612",Action,Original Screenplay,Contemporary Fiction,Live Action,LKG Production Services Limited Partnership,All Time Domestic Box Office for R Movies (Rank 701-800),81 minutes,"2,247","2,247",5.2 weeks,,
817,Proof of Life,"Dec 8, 2000","$65,000,000","$32,598,931","$62,761,005",Action,Based on Factual Book/Article,Contemporary Fiction,Live Action,Castle Rock Entertainment,All Time Domestic Box Office for R Movies (Rank 801-900),135 minutes,"2,705","2,705",4.5 weeks,,
818,Zathura,"Nov 11, 2005","$65,000,000","$28,045,540","$58,545,540",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,Columbia Pictures,PG,95 minutes,"3,223","3,223",3.6 weeks,,
819,The Missing,"Nov 26, 2003","$65,000,000","$26,900,336","$38,253,433",Western,Based on Fiction Book/Short Story,Historical Fiction,Live Action,Revolution Studios,"All Time Domestic Box Office for R Movies (Rank 901-1,000)",136 minutes,"2,756","2,756",3.4 weeks,,
820,Elektra,"Jan 14, 2005","$65,000,000","$24,409,722","$56,824,633",Action,Spin-Off,All Time Domestic Box Office for Super Hero Movies,Live Action,Regency Enterprises,PG-13,97 minutes,"3,203","3,203",2.9 weeks,,
821,Astro Boy,"Oct 23, 2009","$65,000,000","$19,551,067","$41,636,243",Adventure,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,All Time Domestic Box Office for Digital Animation Movies (Rank 101-200),Imagi Studios,PG,100 minutes,"3,014","3,014",3.8 weeks,Freddie Highmore,David Bowers
822,"I, Frankenstein","Jan 24, 2014","$65,000,000","$19,075,290","$74,575,290",Action,Based on Comic/Graphic Novel,Fantasy,Live Action,Hopscotch Features,PG-13,92 minutes,"2,753","2,753",2.9 weeks,Aaron Eckhart,Stuart Beattie
823,Hudson Hawk,"May 24, 1991","$65,000,000","$17,218,916","$17,218,916",Action,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,301-1,400)",95 minutes,"2,071","2,071",3.6 weeks,,
824,Sin City: A Dame to Kill For,"Aug 22, 2014","$65,000,000","$13,757,804","$40,650,842",Action,Based on Comic/Graphic Novel,Fantasy,Live Action,Troublemaker Studios,"All Time Domestic Box Office for R Movies (Rank 1,501-1,600)",101 minutes,"2,894","2,894",2.6 weeks,,Frank Miller | Robert Rodriguez
825,Live by Night,"Dec 25, 2016","$65,000,000","$10,378,555","$21,774,432",Drama,Based on Fiction Book/Short Story,Historical Fiction,Live Action,Warner Bros.,"All Time Domestic Box Office for R Movies (Rank 1,701-1,800)",129 minutes,4,4,2.1 weeks,Ben Affleck | Elle Fanning | Brendan Gleeson | Chris Messina | Sienna Miller | Zoe Saldana | Chris Cooper,Ben Affleck
826,Lucky Numbers,"Oct 27, 2000","$65,000,000","$10,014,234","$10,014,234","All Time Domestic Box Office for Comedy Movies (Rank 1,101-1,200)",Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,701-1,800)",,"2,497","2,497",3.6 weeks,,
827,Oliver Twist,"Sep 23, 2005","$65,000,000","$2,070,920","$26,670,920",Drama,Based on Fiction Book/Short Story,Historical Fiction,Live Action,Tri-Star Pictures,PG-13,,5,5,2.1 weeks,,
828,Tian jiang xiong shi,"Feb 18, 2015","$65,000,000","$74,070","$122,519,874",Action,Original Screenplay,Historical Fiction,Live Action,Sparkle Roll Media Corporation,"All Time Domestic Box Office for R Movies (Rank 4,101-4,200)",126 minutes,14,14,2.1 weeks,Jackie Chan | John Cusack | Adrien Brody | Lin Peng,Daniel Lee
829,Air Strike,"Oct 26, 2018","$65,000,000",$0,"$516,279",Action,Original Screenplay,Historical Fiction,Live Action,China Film Group,"All Time International Box Office for R Movies (Rank 2,201-2,300)",97 minutes,0,0,0,Bruce Willis | Ye Liu | Adrien Brody,Xiao Feng
830,Little Man,"Jul 14, 2006","$64,000,000","$58,636,047","$101,636,047",All Time Domestic Box Office for Comedy Movies (Rank 201-300),Original Screenplay,Contemporary Fiction,Live Action,,PG-13,,"2,533","2,533",4.1 weeks,,
831,Random Hearts,"Oct 8, 1999","$64,000,000","$31,054,924","$63,200,000",Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,,All Time Domestic Box Office for R Movies (Rank 801-900),,"2,697","2,697",4.1 weeks,,
832,Perfume: The Story of a Murderer,"Dec 27, 2006","$63,700,000","$2,223,293","$133,603,463",Drama,Based on Fiction Book/Short Story,Historical Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,501-2,600)",,3,3,3.0 weeks,,
833,Jurassic Park,"Jun 11, 1993","$63,000,000","$402,523,348","$1,045,627,627",Action,Based on Fiction Book/Short Story,Science Fiction,Animation/Live Action,Universal Pictures,PG-13,126 minutes,"2,404","2,404",17.9 weeks,,Steven Spielberg
834,Austin Powers in Goldmember,"Jul 25, 2002","$63,000,000","$213,117,789","$296,338,663",All Time Domestic Box Office for Comedy Movies,Original Screenplay,Contemporary Fiction,Live Action,Gratitude International,PG-13,94 minutes,"3,613","3,613",7.3 weeks,Mike Myers | BeyoncÃ© Knowles | Michael Caine | Verne Troyer,Jay Roach
835,Hop,"Apr 1, 2011","$63,000,000","$108,085,305","$188,657,593",Adventure,Based on Folk Tale/Legend/Fairytale,Kids Fiction,Animation/Live Action,Relativity Media,PG,95 minutes,"3,579","3,579",5.5 weeks,Russell Brand | Hank Azaria,Tim Hill
836,American Assassin,"Sep 14, 2017","$63,000,000","$36,249,674","$68,310,140",Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,CBS Films,All Time Domestic Box Office for R Movies (Rank 701-800),112 minutes,"3,154","3,154",3.9 weeks,Dylan OâBrien | Michael Keaton | Sanaa Lathan | Shiva Negar | Taylor Kitsch,Michael Cuesta
837,Wyatt Earp,"Jun 24, 1994","$63,000,000","$25,052,000","$25,052,000",Western,Based on Real Life Events,Dramatization,Live Action,,PG-13,,"1,859","1,859",2.9 weeks,,
838,Clear and Present Danger,"Aug 3, 1994","$62,000,000","$122,012,656","$207,500,000",Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Mace Neufeld,PG-13,144 minutes,"2,378","2,378",9.3 weeks,,
839,U-571,"Apr 21, 2000","$62,000,000","$77,086,030","$127,630,030",Action,Original Screenplay,Historical Fiction,Live Action,,PG-13,116 minutes,"2,583","2,583",7.6 weeks,,
840,The American President,"Nov 17, 1995","$62,000,000","$60,022,813","$107,822,813",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,Castle Rock Entertainment,PG-13,,"1,508","1,508",10.2 weeks,,
841,The Hateful Eight,"Dec 25, 2015","$62,000,000","$54,117,416","$147,924,595",Western,Original Screenplay,Historical Fiction,Live Action,Weinstein Company,All Time Domestic Box Office for R Movies (Rank 401-500),167 minutes,100,100,3.8 weeks,Samuel L. Jackson | Kurt Russell | Jennifer Jason Leigh | Walton Goggins | DemiÃ¡n Bichir | Tim Roth | Michael Madsen | Bruce Dern,Quentin Tarantino
842,The Love Guru,"Jun 20, 2008","$62,000,000","$32,235,793","$40,159,017",All Time Domestic Box Office for Comedy Movies (Rank 501-600),Original Screenplay,Contemporary Fiction,Live Action,Paramount Pictures,PG-13,87 minutes,"3,012","3,012",3.4 weeks,,
843,3000 Miles to Graceland,"Feb 23, 2001","$62,000,000","$15,738,632","$18,708,848",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,301-1,400)",125 minutes,"2,545","2,545",3.1 weeks,Kurt Russell | Kevin Costner,Demian Lichtenstein
844,Gone Girl,"Oct 3, 2014","$61,000,000","$167,767,189","$368,567,189",Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Regency Enterprises,All Time Domestic Box Office for R Movies,149 minutes,"3,014","3,014",8.0 weeks,Ben Affleck | Rosamund Pike,David Fincher
845,Blades of Glory,"Mar 30, 2007","$61,000,000","$118,594,548","$145,594,548",All Time Domestic Box Office for Comedy Movies,Original Screenplay,Contemporary Fiction,Live Action,DreamWorks Pictures,PG-13,93 minutes,"3,372","3,372",6.5 weeks,,
846,Maze Runner: The Scorch Trials,"Sep 9, 2015","$61,000,000","$81,697,192","$310,566,162",Thriller/Suspense,Based on Fiction Book/Short Story,Science Fiction,Live Action,Gotham Group,PG-13,131 minutes,"3,791","3,791",5.1 weeks,Dylan OâBrien | Kaya Scodelario | Thomas Brodie-Sangster | Ki Hong Lee,Wes Ball
847,2 Guns,"Aug 2, 2013","$61,000,000","$75,612,460","$132,493,015",Action,Based on Comic/Graphic Novel,Contemporary Fiction,Live Action,Universal Pictures,All Time Domestic Box Office for R Movies (Rank 201-300),109 minutes,"3,025","3,025",5.1 weeks,Mark Wahlberg | Denzel Washington,Baltasar Kormakur
848,Maze Runner: The Death Cure,"Jan 17, 2018","$61,000,000","$58,032,443","$265,878,536",Thriller/Suspense,Based on Fiction Book/Short Story,Science Fiction,Live Action,Gotham Group,PG-13,114 minutes,"3,787","3,787",3.9 weeks,Dylan OâBrien | Kaya Scodelario | Thomas Brodie-Sangster | Dexter Darden | Ki Hong Lee | Rosa Salazar,James Dashner
849,A Dogâs Way Home,"Jan 9, 2019","$61,000,000","$41,952,715","$81,151,001",Drama,Original Screenplay,Contemporary Fiction,Live Action,Columbia Pictures,PG,102 minutes,"3,090","3,090",5.3 weeks,Bryce Dallas Howard,Charles Martin Smith
850,Mei Ren Yu,"Feb 7, 2016","$60,720,000","$3,229,457","$554,516,671",Romantic Comedy,Original Screenplay,Science Fiction,Live Action,The Star Overseas,"All Time Domestic Box Office for R Movies (Rank 2,301-2,400)",94 minutes,35,35,3.3 weeks,Chao Deng | Lin Yun | Show Luo | Kitty Zhang*,Stephen Chow
851,Meet the Fockers,"Dec 22, 2004","$60,000,000","$279,167,575","$516,567,575",All Time Domestic Box Office for Comedy Movies,Original Screenplay,Contemporary Fiction,Live Action,,PG-13,114 minutes,"3,518","3,518",8.4 weeks,Robert De Niro | Ben Stiller | Dustin Hoffman | Barbra Streisand | Blythe Danner | Teri Polo,Jay Roach
852,The Lego Movie,"Feb 6, 2014","$60,000,000","$257,784,718","$457,729,388",Adventure,Based on Toy,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Vertigo Entertainment,PG,110 minutes,"3,775","3,775",8.4 weeks,Chris Pratt | Will Ferrell | Elizabeth Banks | Will Arnett | Alison Brie | Charlie Day | Morgan Freeman | Jonah Hill | Channing Tatum | Cobie Smulders,Phil Lord | Christopher Miller
853,300,"Mar 9, 2007","$60,000,000","$210,614,939","$454,161,935",Action,Based on Comic/Graphic Novel,Historical Fiction,Animation/Live Action,Legendary Pictures,All Time Domestic Box Office for R Movies,115 minutes,"3,103","3,103",6.8 weeks,,
854,Wild Hogs,"Mar 2, 2007","$60,000,000","$168,213,584","$253,555,383",All Time Domestic Box Office for Comedy Movies,Original Screenplay,Contemporary Fiction,Live Action,Touchstone Pictures,PG-13,99 minutes,"3,287","3,287",9.0 weeks,,
855,Marley & Me,"Dec 25, 2008","$60,000,000","$143,153,751","$247,812,011",All Time Domestic Box Office for Comedy Movies,Based on Fiction Book/Short Story,Dramatization,Live Action,Fox 2000 Pictures,PG,116 minutes,"3,480","3,480",5.4 weeks,,
856,The Green Mile,"Dec 10, 1999","$60,000,000","$136,801,374","$290,701,374",Drama,Based on Fiction Book/Short Story,Fantasy,Live Action,Castle Rock Entertainment,All Time Domestic Box Office for R Movies,187 minutes,"2,875","2,875",12.2 weeks,Tom Hanks | Michael Clarke Duncan,Frank Darabont
857,The Truman Show,"Jun 5, 1998","$60,000,000","$125,618,201","$264,118,201",Drama,Original Screenplay,Contemporary Fiction,Live Action,Scott Rudin Productions,PG,104 minutes,"2,315","2,315",7.8 weeks,,
858,Sully,"Sep 8, 2016","$60,000,000","$125,070,033","$238,524,556",Drama,Based on Factual Book/Article,Dramatization,Live Action,Village Roadshow Productions,PG-13,96 minutes,"3,525","3,525",6.1 weeks,Tom Hanks,Clint Eastwood
859,The Bourne Identity,"Jun 14, 2002","$60,000,000","$121,468,960","$214,357,371",Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,The Kennedy/Marshall Company,PG-13,118 minutes,"2,638","2,638",7.8 weeks,,
860,Couples Retreat,"Oct 8, 2009","$60,000,000","$109,205,660","$172,450,423",All Time Domestic Box Office for Comedy Movies,Original Screenplay,Contemporary Fiction,Live Action,Relativity Media,PG-13,113 minutes,"3,000","3,000",7.2 weeks,Vince Vaughn | Jason Bateman | Jon Favreau | Faizon Love | Kristin Davis | Malin Akerman | Kristen Bell | Kali Hawk,Peter Billingsley
861,Goldeneye,"Nov 17, 1995","$60,000,000","$106,429,941","$356,429,941",Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,,PG-13,130 minutes,"2,667","2,667",8.7 weeks,,
862,The Italian Job,"May 30, 2003","$60,000,000","$106,126,012","$176,262,839",Adventure,All Time Domestic Box Office for Remake Movies,Contemporary Fiction,Live Action,De Line Pictures,PG-13,111 minutes,"2,633","2,633",8.0 weeks,,
863,Daddy Day Care,"May 9, 2003","$60,000,000","$104,148,781","$164,285,587",All Time Domestic Box Office for Comedy Movies (Rank 101-200),Original Screenplay,Contemporary Fiction,Live Action,Revolution Studios,PG,92 minutes,"3,370","3,370",7.0 weeks,,
864,The General's Daughter,"Jun 18, 1999","$60,000,000","$102,705,852","$149,705,852",Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,,All Time Domestic Box Office for R Movies (Rank 101-200),116 minutes,"2,856","2,856",7.1 weeks,,
865,The Prince of Egypt,"Dec 18, 1998","$60,000,000","$101,413,188","$218,613,188",Adventure,Based on Religious Text,Dramatization,Hand Animation,DreamWorks SKG,PG,98 minutes,"3,118","3,118",8.9 weeks,,
